file_name,cases.0.samples.0.submitter_id,cases.0.case_id,id
4a775326-e623-47d4-b105-d32fc21afb8a.htseq.counts.gz,TCGA-E2-A1LS-01A,91a2f2af-e4b1-4a0b-ab20-6a36ce63c533,1ab5b577-e9c7-4b49-9bbd-3fc39d4dd44e
42441c09-0118-4457-8442-8ed8f4178cbb.htseq.counts.gz,TCGA-E2-A1LI-01A,3558dec7-eae3-4a41-a217-266c6a4535fb,fa2de7ec-0a86-44ee-9f3f-299a93bb593f
7200e770-c95b-44bf-97bb-4b20f26edb77.htseq.counts.gz,TCGA-D8-A1JC-01A,02e6f999-24f2-4ad2-9b92-df3ee2b082e5,e1e8ed15-112f-4dc8-a294-f8bde5d4e036
39b74af5-8b63-4788-b05f-d1696605afdc.htseq.counts.gz,TCGA-BH-A1FJ-01A,f6581eee-61b9-43d4-ab0d-ce5ce3ba1c74,6d293a74-4f4c-4813-8fce-8c2663740066
9ae1330c-a197-416a-9d5f-3ca16b36ec90.htseq.counts.gz,TCGA-BH-A0HB-01A,0c1023c0-d2ce-4940-8047-7642f1dc3965,37cf1cb8-3fe8-44c9-88f2-bfbd89ff4bb0
d6608d24-28bc-4d51-b6d8-8fec450a858f.htseq.counts.gz,TCGA-C8-A1HJ-01A,a855c228-a263-44df-87a0-cbc32187e3f5,48bfe062-0bf8-482d-956e-d556d98aa414
84bf2e9a-56a4-49ba-bbb9-ad931c77e117.htseq.counts.gz,TCGA-BH-A18S-01A,433427a1-bacf-4381-91ba-5fec8a0953f9,2501e0ee-6403-4270-b160-db5e6a24de9d
220d10e6-c62c-4ac3-bd77-62ccc3676962.htseq.counts.gz,TCGA-E2-A1B0-01A,996bd3f0-d767-4eff-9c82-99fcb5a3006a,579e365b-df2f-4e5a-93f7-9c3fb4bd6bbb
6b51c7b1-a0ca-4599-8876-75b7f0269c64.htseq.counts.gz,TCGA-BH-A0H0-01A,96457ebf-ae88-41f4-97e5-cdc3163418aa,855e2abd-839d-44dc-a450-3af46fb66e8d
6515c0f7-2334-4bad-bde7-b562f5f67148.htseq.counts.gz,TCGA-C8-A12P-01A,abdc76db-f85e-4337-a57e-6d098789da03,91f0cf18-f2cd-46cc-b2e1-4b9abadb69b0
97be5457-526d-42ee-ace4-d900b8c6fd5f.htseq.counts.gz,TCGA-EW-A1PB-01A,88db1340-e4bf-451a-87c0-6e9168296f5e,17f50e54-5843-4215-9518-95b91eebb62f
62299b4e-203a-4f74-a2d9-94e0617acfb8.htseq.counts.gz,TCGA-BH-A0B3-01A,18eb4dfc-556f-4bf3-a411-4780209ed1e0,14532cbf-876f-4b89-852d-56722fc99f98
b04f40b6-106f-4984-9bea-9c8664200098.htseq.counts.gz,TCGA-EW-A1P5-01A,53d0af48-d7ea-42c9-8695-c614b89b415b,812f3322-5e23-4647-977f-70a25a2718ee
483b7d6e-7853-4fd7-9efe-de5574af9045.htseq.counts.gz,TCGA-BH-A0E1-01A,606fbc6a-b41b-441d-9401-51e54912bf5e,7f52b126-660f-4269-9d57-bcf206d3a9ea
1cfef63c-cd25-4997-a0a1-90a6f87fa4a3.htseq.counts.gz,TCGA-AR-A24T-01A,9e3de467-fb0d-4021-89f8-b34968a7c7bc,eacf6c72-2b24-432b-a30c-d8fc2a0a9c6f
be56acd5-8a0c-4891-9501-d386a4e2ccad.htseq.counts.gz,TCGA-AC-A2FB-01A,02bbb632-0f7f-439d-b8f0-c86a06237424,fe6cf235-5518-4d77-ac26-6e760d77519e
4253d955-2f01-4657-909e-756c899dd81d.htseq.counts.gz,TCGA-AN-A0G0-01A,96312510-c126-485d-8109-ed81844a1dc3,723f56af-de92-4523-a745-e3e18f1e7574
