gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	61	2.50662251655629	0.517377723554741
?|100134869	43	1.34880803011292	0.276391678552024
?|10357	229	18.0031446540881	3.68912347722433
?|10431	3205	143.274597495528	29.3718333327
?|136542	0	0	0
?|155060	725	12.408339076499	2.55967851616885
?|26823	11	0.992647058823529	0.207175602416689
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	11	0.12926028780611	0.0284533016194594
?|390284	4	0.450151057401813	0.123816015066936
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	1	0.0102880658436214	0.0105409210357911
?|553137	4	0.0814332247557003	0.0166869303693631
?|57714	1288	13.4030910609858	2.75617345820054
?|645851	68	3.87990762124711	0.804518148708602
?|652919	63	0.947368421052632	0.194130478360212
?|653553	1460	191.44094488189	39.2620258800837
?|728045	0	0	0
?|728603	0	0	0
?|728788	12	0.768245838668374	0.157425483945541
?|729884	2	0.0468164794007491	0.00959342251572
?|8225	2339	80.525844245348	16.5161049636384
?|90288	69	1.57123098201936	0.325937525139898
A1BG|1	557	10.8605655930872	2.24151485171306
A1CF|29974	1	0.0231588698471515	0.00474561150847103
A2BP1|54715	246	3.04285002491281	0.627917466544615
A2LD1|87769	321	12.6165354330709	2.58968020017264
A2ML1|144568	97	1.32396694214876	0.273785178770945
A2M|2	32040	356.416648119297	73.0635742059022
A4GALT|53947	788	18.5787735849057	3.80833532758005
A4GNT|51146	2	0.049124788255223	0.0115706101036578
AAA1|404744	0	0	0
AAAS|8086	3098	86.2149220489978	17.6733918232473
AACSL|729522	4	0.07097232079489	0.014543328952149
AACS|65985	2607	41.7669124719461	8.56387818800219
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	38	1.10144927536232	0.225704034422018
AADAT|51166	348	8.21142048135913	1.68264737417771
AAGAB|79719	7583	132.292946927374	27.1276933297489
AAK1|22848	3042	52.6869565217391	10.8409211480807
AAMP|14	6866	191.080178173719	39.1689826528135
AANAT|15	0	0	0
AARS2|57505	2367	24.5177749895441	5.0714659157569
AARSD1|80755	2607	72.3911111111111	14.839297815766
AARS|16	10532	170.49708360337	34.9671111144463
AASDHPPT|60496	5220	95.2705366922234	19.5264500869801
AASDH|132949	1286	20.0342999688182	4.10853351024964
AASS|10157	739	6.34415807560137	1.30096699439468
AATF|26574	3839	88.9383688600556	18.2268448435694
AATK|9625	53	0.634426621977496	0.130003851587219
ABAT|18	3703	35.6123509041939	7.29898148111957
ABCA10|10349	73	1.52591973244147	0.312684612464713
ABCA11P|79963	771	20.3430079155673	4.16859773893102
ABCA12|26154	449	2.46378402107112	0.504867546730492
ABCA13|154664	94	1.02308546059933	0.213785321464631
ABCA17P|650655	58	1.65809033733562	0.339768418704265
ABCA1|19	3099	27.231013215859	5.59500572507471
ABCA2|20	1867	11.437983069562	2.34681172687462
ABCA3|21	7602	74.1344652615144	15.2006993415476
ABCA4|24	427	9.90107326178255	2.04150538048478
ABCA5|23461	672	5.52933421226104	1.13466726530029
ABCA6|23460	261	7.64947245017585	1.56749550962012
ABCA7|10347	312	7.91362467866324	1.64353824010188
ABCA8|10351	146	1.94869728713403	0.401795107717214
ABCA9|10350	201	1.64613606340819	0.340059581341576
ABCB10|23456	3134	40.4830354830355	8.31656555903564
ABCB11|8647	12	0.170219244823386	0.0374388864072678
ABCB1|5243	269	5.83767361111111	1.19622983567111
ABCB4|5244	166	2.13039014373717	0.436549972014109
ABCB5|340273	158	3.47663551401869	0.720441695145819
ABCB6|10058	1551	25.866688940862	5.30945452982616
ABCB7|22	2404	52.1701388888889	10.6904703529864
ABCB8|11194	1594	18.0583295506128	3.70671033667308
ABCB9|23457	463	7.23579545454545	1.49740970305028
ABCC10|89845	1267	12.5620525059666	2.58182124854447
ABCC11|85320	361	5.55305367057372	1.14087750280408
ABCC12|94160	1	0.0104014978156855	0.00213142817698959
ABCC13|150000	115	2.06019347903977	0.422165587022834
ABCC1|4363	5236	41.0742659758204	8.42312438250699
ABCC2|1244	28	0.277172837061968	0.0567970118610356
ABCC3|8714	610	14.3616619452314	2.95086067069937
ABCC4|10257	689	13.0890410958904	2.68620210998386
ABCC5|10057	3937	57.6756598240469	11.8292132394745
ABCC6P1|653190	36	0.647482014388489	0.132679103915253
ABCC6P2|730013	120	8.4985835694051	1.74149154336356
ABCC6|368	547	13.5238095238095	2.77997969245712
ABCC8|6833	147	2.05560259666949	0.425099904396833
ABCC9|10060	5693	66.5175315568022	13.634688751746
ABCD1|215	690	16.6111111111111	3.41525841559632
ABCD2|225	16	0.149784684516008	0.0306932042592442
ABCD3|5825	15834	220.029747011398	45.1019197268992
ABCD4|5826	1225	25.0823433019254	5.14177577931851
