gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	37	1.52814569536424	0.322995163107416
?|100134869	3	0.0941028858218319	0.0198469678710922
?|10357	270	21.2264150943396	4.47680190375297
?|10431	4798	214.519677996422	45.2563650690899
?|136542	0	0	0
?|155060	746	12.7922122674018	2.71083227920338
?|26823	9	0.819852941176471	0.174463603602138
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	11	0.138853824791719	0.0292852591644981
?|390284	1	0.151057401812689	0.0318590803489637
?|391343	1	0.019040365575019	0.00401574851314051
?|391714	1	0.0355366027007818	0.00749492224271996
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	4	0.0814332247557003	0.0171748462467541
?|57714	427	4.43045112781955	0.940448379131471
?|645851	52	2.88799076212471	0.63320841912975
?|652919	22	0.330827067669173	0.0697737813838056
?|653553	208	27.2834645669291	5.75704452458124
?|728045	0	0	0
?|728603	0	0	0
?|728788	5	0.320102432778489	0.0675118796127208
?|729884	141	3.28558052434457	0.696111956444984
?|8225	3146	108.301860785665	22.8640170251309
?|90288	874	20.035500230521	4.24925808689401
A1BG|1	1139	22.2800471327573	4.71765908220049
A1CF|29974	1	0.0231588698471515	0.00488437035456553
A2BP1|54715	0	0	0
A2LD1|87769	179	7.02834645669291	1.48631389889429
A2ML1|144568	63	0.867768595041322	0.183018568186485
A2M|2	18017	200.420876919653	42.287040232417
A4GALT|53947	1673	39.4570754716981	8.32187731664301
A4GNT|51146	0	0	0
AAA1|404744	0	0	0
AAAS|8086	3640	101.282293986637	21.3725469753037
AACSL|729522	0	0	0
AACS|65985	13587	217.733568451427	45.9377192934124
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	288	8.34782608695652	1.76061589072812
AADAT|51166	19	0.448324681453516	0.0945548637633944
AAGAB|79719	11109	193.900488826816	40.9037553458405
AAK1|22848	2402	41.6354782608696	8.81041535318531
AAMP|14	16543	460.362472160356	97.1335287396838
AANAT|15	0	0	0
AARS2|57505	1977	20.5165202843998	4.35971727568325
AARSD1|80755	4000	111.047777777778	23.4341235455711
AARS|16	10268	166.289047310434	35.0873983326849
AASDHPPT|60496	2247	41.009127418766	8.65111866487923
AASDH|132949	1233	19.208294356096	4.05438835337079
AASS|10157	686	5.89347079037801	1.24297490352539
AATF|26574	4995	115.72937905468	24.4087354956244
AATK|9625	155	1.84677998563562	0.391316762581657
ABAT|18	18149	174.554636398615	36.8194803199031
ABCA10|10349	106	2.20066889632107	0.467310908496547
ABCA11P|79963	665	17.5408970976253	3.70061291346287
ABCA12|26154	51	0.275131694468832	0.0590225126614197
ABCA13|154664	76	0.843507214206437	0.177901670423647
ABCA17P|650655	52	1.48656375071469	0.313526867333541
ABCA1|19	441	3.87788546255507	0.819471685923979
ABCA2|20	3707	22.7380689485953	4.79593095234258
