gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	189	7.72682119205298	1.63689351571633
?|100134869	75	2.3525721455458	0.492264485617027
?|10357	187	14.7012578616352	3.07616799462793
?|10431	5224	233.461538461538	48.8862723738125
?|136542	0	0	0
?|155060	2046	34.9583046175052	7.37621861378573
?|26823	18	1.65441176470588	0.346177760326562
?|280660	0	0	0
?|317712	0	0	0
?|340602	2	0.0515729757607014	0.0107913988664059
?|388795	20	0.252461499621308	0.0528263630445874
?|390284	9	1.25981873111782	0.284472358939048
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	3	0.0927643784786642	0.0194105031558081
?|442388	0	0	0
?|553137	81	1.61807817589577	0.345050145472078
?|57714	2933	30.5357142857143	6.40889977077609
?|645851	187	10.7101616628176	2.25917187596231
?|652919	177	2.66165413533835	0.556938415811596
?|653553	443	58.1102362204724	12.1647813964157
?|728045	0	0	0
?|728603	4	0.106951871657754	0.0223791683443434
?|728788	68	4.20998719590269	0.91092671148102
?|729884	2	0.0468164794007491	0.00979612472001923
?|8225	2702	93.0461750516885	19.4824464266364
?|90288	232	5.31074227754726	1.11906159457238
A1BG|1	590	11.5404556166536	2.42448315340869
A1CF|29974	0	0	0
A2BP1|54715	11	0.137020428500249	0.0286708702567977
A2LD1|87769	128	5.0244094488189	1.05446412104371
A2ML1|144568	136	1.86198347107438	0.391974524334257
A2M|2	28473	316.724682839973	66.3013494715155
A4GALT|53947	1600	37.7292452830189	7.89604618941928
A4GNT|51146	2	0.0564652738565782	0.0118150888774484
AAA1|404744	0	0	0
AAAS|8086	3414	94.9632516703786	19.8876167818194
AACSL|729522	7	0.124201561391057	0.0259885835368573
AACS|65985	5757	92.2465533824944	19.3110733356989
AADACL2|344752	0	0	0
AADACL3|126767	1	0.0126903553299492	0.00265539624390369
AADACL4|343066	0	0	0
AADAC|13	5	0.144927536231884	0.0303253947854508
AADAT|51166	426	10.0514393581878	2.10331442737976
AAGAB|79719	10167	177.464036312849	37.1402966586484
AAK1|22848	3636	63.0890434782609	13.2315762527879
AAMP|14	12802	356.30289532294	74.5756502755862
AANAT|15	2	0.104384133611691	0.0218418814216713
AARS2|57505	3226	33.3697197825178	7.05797880266901
AARSD1|80755	2849	79.1077777777778	16.5594345342186
AARS|16	13681	221.47634478289	46.3817872620268
AASDHPPT|60496	2886	52.6688572471705	11.0237626235961
AASDH|132949	1592	24.8010601808544	5.19361391704428
AASS|10157	967	8.28969072164949	1.73831728201859
AATF|26574	8710	201.772011121409	42.2271988232347
AATK|9625	832	9.95259755805602	2.08393615494752
ABAT|18	382	3.67449018853405	0.76886952265767
ABCA10|10349	486	10.1530100334448	2.12569353832631
ABCA11P|79963	1743	45.9868073878628	9.62307191203645
ABCA12|26154	246	1.34986830553117	0.282453495987842
ABCA13|154664	108	1.18823529411765	0.250815584840377
ABCA17P|650655	49	1.3956546598056	0.293110805516322
ABCA1|19	1782	15.6678414096916	3.28524219562067
ABCA2|20	11150	68.3745552692921	14.311644263395
ABCA3|21	3420	33.364168618267	6.98300806154439
ABCA4|24	22	0.507232851143257	0.107405387970869
ABCA5|23461	13560	111.692979564931	23.3797399283613
ABCA6|23460	313	9.12895662368113	1.91951216641671
ABCA7|10347	847	21.6838046272494	4.55605924793343
ABCA8|10351	374	5.02068224550094	1.05100340831768
ABCA9|10350	637	5.24322985468956	1.10047232249416
ABCB10|23456	1567	20.2636622636623	4.2461443413459
ABCB11|8647	10	0.152253349573691	0.031858286239283
ABCB1|5243	251	5.44704861111111	1.13976890687765
ABCB4|5244	55	0.705852156057495	0.147696192518976
ABCB5|340273	303	6.61326212728082	1.4107989069413
ABCB6|10058	3362	56.1383227530905	11.7521290202795
ABCB7|22	1881	40.8203125	8.54145543361302
ABCB8|11194	1482	16.8102587380844	3.5190810485368
ABCB9|23457	2263	35.6092171717172	7.47351549804891
ABCC10|89845	1900	18.8814638027049	3.95351954690991
ABCC11|85320	244	3.74799506477483	0.787412625860349
ABCC12|94160	10	0.0882047014770127	0.021764637405826
ABCC13|150000	34	0.609100680759584	0.127451408396037
ABCC1|4363	4929	38.6757732768095	8.09679470240746
ABCC2|1244	126	1.23440902791526	0.260986915724322
ABCC3|8714	520	12.2223796033994	2.56863825519824
ABCC4|10257	1017	19.337899543379	4.04875176613288
ABCC5|10057	7798	114.279178885631	23.9251357317438
ABCC6P1|653190	39	0.701438848920863	0.146772729078504
ABCC6P2|730013	31	2.19546742209632	0.459391072564301
ABCC6|368	83	2.04365079365079	0.430737936349893
ABCC8|6833	1503	21.1340671747107	4.43826660600445
ABCC9|10060	6019	70.3422159887798	14.720044452712
ABCD1|215	1263	30.4579710144928	6.3834956023374
ABCD2|225	14	0.131061598951507	0.0274240136329765
ABCD3|5825	4767	66.231859883236	13.8653319836181
ABCD4|5826	1231	25.2130274477673	5.27613418205942
ABCE1|6059	4221	50.3037672865999	10.5296148138624
ABCF1|23	10975	212.196442382057	44.4019012686626
ABCF2|10061	5611	96.3873409012728	20.1939276225324
ABCF3|55324	5500	107.629600626468	22.5303197358626
ABCG1|9619	6618	110.63453815261	23.1724379612079
ABCG2|9429	216	4.74206349206349	0.996405828664813
ABCG4|64137	6	0.0821917808219178	0.0171982375906529
ABCG5|64240	19	0.331198861615084	0.0707161020343758
ABCG8|64241	3	0.0561797752808989	0.0117553496640231
ABHD10|55347	3788	73.8856362217018	15.4687921269767
ABHD11|83451	4620	168.028404952658	35.2044040411727
ABHD12B|145447	40	1.30890052356021	0.273881183271742
ABHD12|26090	7077	191.958762886598	40.1744018010522
ABHD13|84945	1007	9.46313017306245	1.98184669476813
ABHD14A|25864	760	33.2878653675819	7.04279761979204
ABHD14B|84836	2787	67.7620437956204	14.1889644608919
ABHD15|116236	1973	35.6828913912096	7.49801719924977
ABHD1|84696	446	15.2283737024221	3.22918234992202
ABHD2|11057	24977	142.508617737701	29.8271770365131
ABHD3|171586	1403	40.0548885077187	8.39254000284488
ABHD4|63874	2926	85.1776354105999	17.8291067408672
ABHD5|51099	3611	33.5474860335196	7.03523746680461
ABHD6|57406	414	8.57853294653958	1.79501704815829
ABHD8|79575	920	21.5567644276254	4.5531127270114
ABI1|10006	4029	57.6380543633762	12.0607869467098
ABI2|10152	8200	67.6493399339934	14.1568550904357
ABI3BP|25890	304	4.14172583287821	0.868521956607888
ABI3|51225	250	5.89622641509434	1.23375721709676
ABL1|25	9483	84.1585582386364	17.6160552146482
ABL2|27	5297	22.3359203644339	4.67509680965024
ABLIM1|3983	2920	66.4121929026388	13.8989093297831
ABLIM2|84448	118	1.73427395649618	0.36288854253842
ABLIM3|22885	9184	115.37924101533	24.1481293967844
