gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	130	5.37251655629139	1.35704571854574
?|100134869	69	2.16436637390213	0.545856938192376
?|10357	212	16.6650943396226	4.20336212308525
?|10431	3665	163.84794275492	41.3380738312365
?|136542	0	0	0
?|155060	314	5.35906271536871	1.36442698826544
?|26823	3	0.275735294117647	0.0695409174775134
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	2	0.0252461499621308	0.00636712263027304
?|390284	0	0	0
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	8	0.162866449511401	0.0410751998998559
?|57714	4492	46.8162071846282	11.8305154491848
?|645851	180	10.2321016166282	2.62103411832106
?|652919	141	2.1203007518797	0.534743512200019
?|653553	552	72.2834645669291	18.2697314326225
?|728045	0	0	0
?|728603	3	0.0802139037433155	0.0202300850843675
?|728788	3	0.192061459667093	0.0484382318921476
?|729884	1226	28.6811797752809	7.23781174564961
?|8225	1342	46.223294279807	11.6628090334536
?|90288	43	0.99124020285846	0.249992491414476
A1BG|1	339	6.58994501178319	1.67903349535652
A1CF|29974	6	0.138953219082909	0.0350442418784319
A2BP1|54715	1	0.000747384155455904	0.00314152625043741
A2LD1|87769	620	24.3755905511811	6.15610515664455
A2ML1|144568	11458	157.694490358127	39.8034076085214
A2M|2	25994	289.232138882706	72.9549488276061
A4GALT|53947	261	6.15566037735849	1.55246818036592
A4GNT|51146	2	0.0564652738565782	0.0142406396039026
AAA1|404744	0	0	0
AAAS|8086	2045	56.9148106904232	14.3583667177773
AACSL|729522	1	0.0177430801987225	0.00447483547525045
AACS|65985	4616	73.9528695094582	18.662442667677
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	15	0.428985507246377	0.10965292495005
AADAT|51166	525	12.3841434638981	3.12425452754095
AAGAB|79719	4847	84.5810055865922	21.3411622317677
AAK1|22848	3878	67.2977391304348	17.0093617182518
AAMP|14	3494	97.2488864142539	24.5320945290532
AANAT|15	6	0.313152400835073	0.0789775764254014
AARS2|57505	1529	15.8207862818904	4.03195777051277
AARSD1|80755	1552	43.0772222222222	10.8726966917139
AARS|16	13913	225.296824368114	56.8516304781126
AASDHPPT|60496	2759	50.3373493975904	12.7021644004296
AASDH|132949	1487	23.1674462114125	5.84695928627481
AASS|10157	715	6.14106529209622	1.54917727732266
AATF|26574	19104	442.613531047266	111.632571824959
AATK|9625	209	2.50083792195356	0.630957158528718
