gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	47	1.93543046357616	0.555846336724322
?|100134869	15	0.470514429109159	0.134439462097823
?|10357	402	31.498427672956	9.0301041969329
?|10431	2064	92.2540250447227	26.374954164176
?|136542	0	0	0
?|155060	354	6.00482425913163	1.74272827738827
?|26823	2	0.183823529411765	0.0525236525941005
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	0	0	0
?|390284	2	0.302114803625378	0.086322861060999
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	2	0.0407166123778502	0.0116339035061851
?|57714	2280	23.7855054302423	6.80306357409302
?|645851	33	1.90531177829099	0.544402200559638
?|652919	33	0.496240601503759	0.141790167123202
?|653553	62	8.04199475065617	2.32482644972943
?|728045	0	0	0
?|728603	0	0	0
?|728788	8	0.450704225352113	0.146339907867814
?|729884	12	0.280898876404494	0.0802608623909851
?|8225	1142	39.3280496209511	11.2440434620192
?|90288	19	0.437989857076994	0.125146259385114
A1BG|1	185	3.60801256873527	1.03809512903972
A1CF|29974	2	0.0463177396943029	0.0132343061654426
A2BP1|54715	0	0	0
A2LD1|87769	117	4.60629921259843	1.31615174815327
A2ML1|144568	3227	44.4168044077135	12.7003638905113
A2M|2	32708	363.88048074783	104.00192902315
A4GALT|53947	247	5.825	1.66450428107644
A4GNT|51146	0	0	0
AAA1|404744	0	0	0
AAAS|8086	1615	44.945434298441	12.8466537369357
AACSL|729522	0	0	0
AACS|65985	2043	32.7486373837769	9.3578658710905
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	4	0.115942028985507	0.0331279617521051
AADAT|51166	938	22.1330816422841	6.32405598312809
AAGAB|79719	2467	43.0656424581006	12.306086403039
AAK1|22848	1512	26.24	7.51342172537744
AAMP|14	7076	196.912026726058	56.2866389117999
AANAT|15	3	0.156576200417537	0.0447383095164781
AARS2|57505	2996	31.0460058552907	8.95068063211285
AARSD1|80755	1179	32.7422222222222	9.35761394616495
AARS|16	9478	153.411535968892	43.8777760097319
AASDHPPT|60496	3292	60.0766703176342	17.1708430450602
AASDH|132949	343	5.34611786716558	1.52798462501378
AASS|10157	635	5.45240549828179	1.55874317457956
AATF|26574	3429	79.433734939759	22.700732386787
AATK|9625	94	1.12281541776395	0.321504608457257
ABAT|18	278	2.67410542516352	0.764068586871009
ABCA10|10349	53	1.10785953177258	0.316547230684178
ABCA11P|79963	264	6.96569920844327	1.99029997122806
ABCA12|26154	23	0.122585601404741	0.03606101521386
ABCA13|154664	51	0.564705882352941	0.161733209497306
ABCA17P|650655	12	0.343053173241852	0.0980201269680641
ABCA1|19	1202	10.5598237885463	3.02595472664768
ABCA2|20	1426	8.74224021592443	2.49938095681253
ABCA3|21	648	6.3231850117096	1.80671524426733
ABCA4|24	2519	58.497433504433	16.7930592629933
ABCA5|23461	1240	10.2139090309822	2.91944257530294
ABCA6|23460	158	4.63071512309496	1.32312807378902
ABCA7|10347	385	9.88123393316195	2.82790586100473
ABCA8|10351	58	0.77894171367177	0.222565979942125
ABCA9|10350	94	0.767833553500661	0.221751114518818
ABCB10|23456	1367	17.6713286713287	5.05815970011625
ABCB11|8647	0	0	0
ABCB1|5243	165	3.58072916666667	1.02311698282258
ABCB4|5244	48	0.616016427104723	0.176013554483721
ABCB5|340273	77	1.67645749888741	0.489566257201086
ABCB6|10058	2666	44.5322418977614	12.7255702391972
ABCB7|22	1854	40.234375	11.4961144615337
ABCB8|11194	1358	15.4003631411711	4.40330837507909
ABCB9|23457	468	7.38194444444444	2.11049585878113
ABCC10|89845	2131	21.1875497215593	6.05497012737145
ABCC11|85320	2	0.0308451573103023	0.00881334577766523
ABCC12|94160	0	0	0
