gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	122	4.99337748344371	0.583066607035115
?|100134869	25	0.784190715181932	0.0905476044000066
?|10357	284	22.3270440251572	2.57802127807958
?|10431	5266	235.436493738819	27.1934509310939
?|136542	0	0	0
?|155060	1986	33.9155754651964	3.95100072346562
?|26823	32	2.91360294117647	0.339606779796731
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	16	0.201969199697046	0.0233206372392605
?|390284	5	0.755287009063444	0.0872102002499157
?|391343	38	0.723533891850724	0.0835437851289749
?|391714	2	0.0710732054015636	0.00820656042152725
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	4	0.0814332247557003	0.00940279357743391
?|57714	5609	58.453634085213	6.76326760107721
?|645851	171	9.74480369515012	1.13999643056478
?|652919	153	2.30075187969925	0.265659318571819
?|653553	628	82.3622047244095	9.51612068532781
?|728045	0	0	0
?|728603	0	0	0
?|728788	58	3.65556978233035	0.428748124045553
?|729884	0	0	0
?|8225	2992	103.046175051688	11.9047272553969
?|90288	785	18.0281235592439	2.08946633305089
A1BG|1	1433	27.9395129615082	3.24947398375026
A1CF|29974	2	0.0296433534043539	0.00534813826451544
A2BP1|54715	1	0.000747384155455904	0.00143829478239771
A2LD1|87769	426	16.7425196850394	1.93656086558104
A2ML1|144568	161	2.19035812672176	0.256061640855001
A2M|2	51704	575.221455597596	66.4374564932946
A4GALT|53947	2729	64.325	7.43178176184421
A4GNT|51146	12	0.338791643139469	0.039119019242537
AAA1|404744	0	0	0
AAAS|8086	3766	104.805679287305	12.1059606103264
AACSL|729522	4	0.07097232079489	0.00819491164875007
AACS|65985	5137	82.3247835844822	9.50866318463248
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	1	0.00761904761904762	0.00366559698828217
AADAC|13	42	1.21739130434783	0.140567675811516
AADAT|51166	234	5.4988201982067	0.63754401606012
AAGAB|79719	11118	194.067039106145	22.4119130664319
AAK1|22848	9514	165.199652173913	19.1051552524395
AAMP|14	18334	510.212694877506	58.9353908204262
