gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	217	8.92135761589404	1.33832215731032
?|100134869	72	2.25031367628607	0.336520904874335
?|10357	363	28.5377358490566	4.25223617706581
?|10431	3545	158.468694096601	23.6233946134038
?|136542	0	0	0
?|155060	2165	37.0037904893177	5.55812566013084
?|26823	22	1.96691176470588	0.301294809337551
?|280660	0	0	0
?|317712	0	0	0
?|340602	46	1.13563692625064	0.176745307066971
?|388795	59	0.721282504418076	0.110972415144225
?|390284	7	1.05740181268882	0.157557076896099
?|391343	16	0.304645849200305	0.0453934435448667
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	10	0.203583061889251	0.0303346861636859
?|57714	4700	48.9421470342523	7.3132696183095
?|645851	292	16.6986143187067	2.5120763108152
?|652919	75	1.12781954887218	0.168049599739878
?|653553	663	86.9291338582677	12.9645193836069
?|728045	0	0	0
?|728603	0	0	0
?|728788	49	3.11523687580026	0.467426052712242
?|729884	325	7.60065543071161	1.13357427415047
?|8225	5156	177.556857339766	26.4736220818796
?|90288	213	4.85154449054864	0.731623960508837
A1BG|1	689	13.4214454045562	2.01617716304834
A1CF|29974	4	0.0926354793886058	0.0138030549732307
A2BP1|54715	3	0.0251619332336821	0.00556816062914892
A2LD1|87769	444	17.4023622047244	2.60463647344863
A2ML1|144568	574	7.87355371900826	1.17807553198731
A2M|2	59496	661.959937680837	98.6550267196722
A4GALT|53947	2115	49.8731132075472	7.43262769792908
A4GNT|51146	10	0.21682665160926	0.0420677522405491
AAA1|404744	0	0	0
AAAS|8086	4836	134.575723830735	20.0607806157187
AACSL|729522	0	0	0
AACS|65985	1979	31.721064443732	4.72713807830865
AADACL2|344752	42	1.506456241033	0.224467973253696
AADACL3|126767	0	0	0
AADACL4|343066	1	0.00825396825396825	0.00473028502971508
AADAC|13	135	3.9095652173913	0.583059046054011
AADAT|51166	121	2.85512033978292	0.42542428954127
AAGAB|79719	4537	79.1930865921788	11.8022180545434
AAK1|22848	9452	164.053217391304	24.4936626813445
AAMP|14	7363	204.891982182628	30.5433266487876
AANAT|15	20	1.03757828810021	0.155536511937396
AARS2|57505	3217	33.3071936428273	5.01198032861452
AARSD1|80755	3050	84.6538888888889	12.6239481730521
AARS|16	9012	145.922877511342	21.7567053413068
AASDHPPT|60496	4566	83.3209200438116	12.4197182464201
AASDH|132949	1732	26.9934518241347	4.02361850095409
AASS|10157	3717	31.9219931271478	4.7581425072741
AATF|26574	7350	170.295644114921	25.3748665779607
AATK|9625	259	3.09360785252574	0.461958707384851
ABAT|18	5153	49.564255482878	7.38570123971563
ABCA10|10349	609	12.6814381270903	1.8968106786693
ABCA11P|79963	1361	35.910290237467	5.35077611217494
ABCA12|26154	94	0.515803336259877	0.0768567491932965
ABCA13|154664	326	3.5780244173141	0.53912649245443
ABCA17P|650655	25	0.710691823899371	0.106492265891956
ABCA1|19	8726	76.6983259911894	11.4555833994075
ABCA2|20	6347	38.9216047110784	5.80130199443903
ABCA3|21	3336	32.5485948477752	4.85048079686358
ABCA4|24	120	2.79094727018199	0.417183327399044
ABCA5|23461	4248	34.9803889255109	5.21563035923067
ABCA6|23460	3100	90.4021101992966	13.5378761181617
ABCA7|10347	8995	230.850899742931	34.454775990541
ABCA8|10351	2079	27.9132420091324	4.16034476455138
ABCA9|10350	1693	13.9701122853369	2.08275871443354
ABCB10|23456	2322	30.006993006993	4.48053921171264
ABCB11|8647	191	2.90803897685749	0.433309376998794
ABCB1|5243	1732	37.5846354166667	5.60058356447907
ABCB4|5244	1806	23.1763347022587	3.45355730307317
ABCB5|340273	430	9.47307521139297	1.42571674961039
ABCB6|10058	1998	33.3722018042098	4.97343716864648
ABCB7|22	2431	52.7560763888889	7.86086526861929
ABCB8|11194	3134	35.4777576032683	5.29934712231619
ABCB9|23457	783	12.2705176767677	1.84138439260429
ABCC10|89845	3461	34.3947891805887	5.1283091623616
ABCC11|85320	1005	15.4978408389883	2.30951570524684
ABCC12|94160	118	1.21718327439151	0.182884017635229
ABCC13|150000	71	1.27015406664278	0.189524945699709
ABCC1|4363	10495	82.379808447166	12.2766270504481
ABCC2|1244	284	2.79885171253217	0.418898533714424
ABCC3|8714	4699	110.480169971671	16.5290296192371
ABCC4|10257	1715	32.6076864535769	4.86190683062753
ABCC5|10057	5637	82.6211143695015	12.3157687161858
ABCC6P1|653190	2	0.0359712230215827	0.00535985533942536
ABCC6P2|730013	2	0.141643059490085	0.0211053793818732
ABCC6|368	28	0.672123015873016	0.103474985025017
ABCC8|6833	30	0.416313858312165	0.063083818135489
ABCC9|10060	7212	84.2805049088359	12.559802389909
ABCD1|215	1710	41.1874396135266	6.15451215279234
ABCD2|225	1671	15.5832241153342	2.33088979560567
ABCD3|5825	6304	87.596052265777	13.0570069510801
ABCD4|5826	4222	86.4264645637034	12.8860056730213
ABCE1|6059	9441	112.530996661898	16.77094134972
ABCF1|23	8233	159.176334106729	23.7190594443889
ABCF2|10061	5272	90.5431716546268	13.5113342675391
ABCF3|55324	4905	96.0238841033673	14.3082324633654
ABCG1|9619	6432	107.58266398929	16.0373759923111
ABCG2|9429	327	7.19047619047619	1.07416889216447
ABCG4|64137	4	0.0547945205479452	0.00816460155813836
ABCG5|64240	11	0.195659907506226	0.0291541046388523
ABCG8|64241	2	0.0374531835205993	0.00558067334966386
ABHD10|55347	4360	85.0628415300546	12.6787147927609
ABHD11|83451	3949	143.727603787327	21.4281395063315
ABHD12B|145447	15	0.490837696335079	0.0731367695203003
ABHD12|26090	4649	126.098752034726	18.7932581592263
ABHD13|84945	3774	35.4253197893153	5.2891367063352
ABHD14A|25864	2097	92.3427812223206	13.8379691222473
ABHD14B|84836	11058	269.03698296837	40.0896835412546
ABHD15|116236	2907	52.6095168906647	7.86695541797175
ABHD1|84696	478	16.163321799308	2.46449486824983
ABHD2|11057	7987	45.5726515237987	6.79200305769051
ABHD3|171586	4719	134.87764436821	20.1014801097656
ABHD4|63874	2558	74.4682585905649	11.0993644973603
ABHD5|51099	1701	15.7882681564246	2.35992334562084
ABHD6|57406	997	20.6353087443017	3.07826287817482
ABHD8|79575	1027	24.1376537369915	3.61937289152785
ABI1|10006	10483	149.944778254649	22.3463334183813
ABI2|10152	5620	46.3602310231023	6.90926038622492
ABI3BP|25890	16913	230.868924085199	34.4088515468117
ABI3|51225	2863	67.486320754717	10.0612827892061
ABL1|25	6799	60.3201349431818	8.99394575094579
ABL2|27	5150	21.6987514762949	3.23675758792614
ABLIM1|3983	23627	537.379435850773	80.0845541061866
ABLIM2|84448	215	3.15049970605526	0.470838556198492
ABLIM3|22885	4235	53.210605679819	7.92952813114559
ABO|28	132	4.35931307793923	0.64955499186114
ABP1|26	692	13.7830985915493	2.07466303979335
ABRA|137735	18	0.307665135994348	0.0473696858327173
ABR|29	10089	119.86305278174	17.8709122496559
ABT1|29777	4128	91.3543237250554	13.6383242346765
ABTB1|80325	4974	124.974358974359	18.6311158557262
ABTB2|25841	827	9.93227283682815	1.48501193259331
ACAA1|30	6598	194.551622418879	29.0008333251001
ACAA2|10449	4804	134.612668161435	20.0620827468235
ACACA|31	2817	29.1302816901408	4.34697811986622
ACACB|32	2796	25.8211712543876	3.8482830565964
ACAD10|80724	2903	62.3671539122958	9.29833511177516
ACAD11|84129	3212	83.2352024922118	12.4247346504806
ACAD8|27034	2830	78.741504178273	11.7459960716978
ACAD9|28976	3245	70.4684919600174	10.5066907871556
ACADL|33	57	1.55993431855501	0.232436419563586
ACADM|34	4537	100.703374777975	15.0095703855294
ACADSB|36	4101	35.0179333902647	5.21832037204218
ACADS|35	1791	61.0798634812287	9.10805888665259
ACADVL|37	31920	707.276841171251	105.505922619297
ACAN|176	93	0.523820590285847	0.0805099348974572
ACAP1|9744	20014	394.013079667063	59.0995962033017
ACAP2|23527	11142	123.164155959238	18.3894808122972
ACAP3|116983	3230	46.0094124358243	6.86370294278895
ACAT1|38	4064	94.4825500232666	14.0891616650536
ACAT2|39	2674	82.7159653465347	12.3278662852083
ACBD3|64746	5218	72.7497905612957	10.8559447009101
ACBD4|79777	2291	57.3934673366834	8.57708830645561
ACBD5|91452	3099	41.350774159103	6.16341870225896
ACBD6|84320	3134	96.4446505875077	14.4396557952536
ACBD7|414149	687	15.5388127853881	2.3371171960171
ACCN1|40	14	0.225225225225225	0.0335594546027083
ACCN2|41	133	1.72789115646258	0.259256006436307
ACCN3|9311	174	4.25171736997056	0.636081752891765
ACCN4|55515	53	1.02571094663031	0.153821793087443
ACCN5|51802	3	0.0886524822695035	0.0132095725563852
ACCSL|390110	0	0	0
ACCS|84680	1931	47.02392578125	7.02457720605382
ACD|65057	2472	59.0464114832536	8.8119099209056
ACE2|59272	36	0.51605504587156	0.0768942549268478
ACER1|125981	49	2.20588235294118	0.335532855853181
ACER2|340485	334	5.835904628331	0.872498751711647
ACER3|55331	1888	21.5769142857143	3.21508012899675
ACE|1636	2920	61.115255658005	9.11759465702416
ACHE|43	1864	41.9324324324324	6.25548233794483
ACIN1|22985	22810	358.478917558213	53.4735800523243
ACLY|47	13737	157.666130884041	23.5002026610296
ACMSD|130013	8	0.309597523219814	0.046131262673692
ACN9|57001	861	20.6450676982592	3.10184781028572
ACO1|48	3986	55.546265328874	8.27661452126527
ACO2|50	10309	185.403597122302	27.627374347068
ACOT11|26027	513	9.28898582333697	1.38929554594113
ACOT12|134526	3	0.115919629057187	0.0172724859083491
ACOT13|55856	3076	36.0816518066635	5.37700888865806
ACOT1|641371	1020	31.7724438902743	4.73765766847711
ACOT2|10965	1887	56.247009569378	8.40820895062139
ACOT4|122970	733	21.4885496183206	3.20669160873771
ACOT6|641372	8	0.398406374501992	0.0593641348350697
ACOT7|11332	2728	83.4332925336597	12.438275800902
ACOT8|10005	1444	35.6719367588933	5.31526049559338
ACOT9|23597	2644	79.5291992775437	11.8593172481893
ACOX1|51	5088	33.8476177801437	5.04479799229768
ACOX2|8309	1014	21.3764855687606	3.20649478213348
ACOX3|8310	1697	29.7093837535014	4.42681637615432
ACOXL|55289	81	1.618058330004	0.241097128512146
ACP1|52	7781	248.044642857143	36.970661868964
ACP2|53	5629	133.627730294397	19.9131860070367
ACP5|54	6918	217.323270440252	32.4153937993843
ACP6|51205	811	14.8213499633162	2.21647517446105
ACPL2|92370	1158	18.8870757180157	2.81570833924473
ACPP|55	352	5.64102564102564	0.840535262972449
ACPT|93650	3	0.111358574610245	0.0165928706498914
ACRBP|84519	423	11.82372691662	1.76353337656515
ACRC|93953	459	7.21334172435494	1.07603565295997
ACRV1|56	9	0.420168067226891	0.0626067136285819
ACR|49	16	0.68259385665529	0.101709200297628
ACSBG1|23205	46	0.893974960876369	0.134080262285938
ACSBG2|81616	14	0.259259259259259	0.0386306610760065
ACSF2|80221	2860	66.3048723897912	9.88750297742533
ACSF3|197322	2532	41.3367080339647	6.16064783474878
ACSL1|2180	5281	70.7646743500402	10.5452963028766
ACSL3|2181	7585	88.9483810417644	13.2589767296721
ACSL4|2182	7394	73.4568759936407	10.9472914999599
ACSL5|51703	8088	125.030003093102	18.6381716299191
ACSL6|23305	553	9.40156409384563	1.40087045350428
ACSM1|116285	92	2.2428083861531	0.334187372406492
ACSM2A|123876	79	1.42549238201412	0.21871635630706
ACSM2B|348158	0	0	0
ACSM3|6296	378	8.96772662553393	1.33658053746601
ACSM4|341392	18	0.480780263912794	0.0769383709652453
ACSM5|54988	246	6.87633501967397	1.03021300436375
ACSS1|84532	8187	91.6240483654277	13.6575858873235
ACSS2|55902	2409	44.8232229251954	6.67939307875669
ACSS3|79611	415	6.9040959040959	1.02958126957959
ACTA1|58	61	1.99801192842942	0.301167749655319
ACTA2|59	10688	346.258106355383	51.6392516706951
ACTBL2|345651	0	0	0
ACTB|60	821270	22758.9296008869	3391.698929328
ACTC1|70	2	0.0270782561603033	0.00403476789699499
ACTG1|71	313331	8374.79679144385	1248.33063014273
ACTG2|72	443	17.3959151610369	2.59264581489234
ACTL6A|86	5046	132.229559748428	19.7031990353297
ACTL6B|51412	1	0.00517464424320828	0.00481901612018192
ACTL7A|10881	0	0	0
ACTL7B|10880	0	0	0
ACTL8|81569	5	0.132415254237288	0.0197303996869737
ACTL9|284382	0	0	0
ACTN1|87	15198	210.511369938991	31.3999232427996
ACTN2|88	25	0.276060070671378	0.0411340488173656
ACTN3|89	20	0.336587007741501	0.0501528032433608
ACTN4|81	32813	894.159934497817	133.440708090101
ACTR10|55860	4648	95.9454995871181	14.2974915724741
ACTR1A|10121	10972	195.43391521197	29.1213332988968
ACTR1B|10120	7040	155.071744906997	23.2282552743493
ACTR2|10097	59614	757.198678861789	112.839471169781
ACTR3B|57180	623	14.7770398481973	2.20183772688908
ACTR3C|653857	183	7.38916256157635	1.11936486263516
ACTR3|10096	44070	851.741012756088	126.915448969378
ACTR5|79913	1477	29.6123436869706	4.43886398043584
ACTR6|64431	2799	79.0938914027149	11.7947436550462
ACTR8|93973	2269	32.7266166281755	4.88005235380111
ACTRT1|139741	0	0	0
ACTRT2|140625	0	0	0
ACVR1B|91	2614	41.32036685642	6.15901960202039
ACVR1C|130399	547	3.13862749598347	0.467667983730237
ACVR1|90	3008	50.8994583615437	7.58639077751461
ACVR2A|92	2225	21.2118611746758	3.16107791781232
ACVR2B|93	1094	4.78883729080873	0.714143312052096
ACVRL1|94	5623	68.1289384391663	10.1532885451499
ACY1|95	1759	58.4254327563249	8.72496664676991
ACY3|91703	463	17.4290053151101	2.61916636354896
ACYP1|97	891	67.4484848484849	10.0577685444317
ACYP2|98	828	33.0896607431341	4.98284709794139
ADAD1|132612	1	0.00397614314115308	0.00370288216789327
ADAD2|161931	35	0.795816280127331	0.11857979184313
ADAL|161823	1120	20.2518089725036	3.01889391910905
ADAM10|102	8223	170.316901408451	25.3782045294
ADAM11|4185	109	1.23976342129208	0.184729682091978
ADAM12|8038	3133	45.6448598130841	6.81701904848228
ADAM15|8751	6059	105.457520891365	15.7175331710285
ADAM17|6868	3406	127.763513513514	19.0505837294708
ADAM18|8749	0	0	0
ADAM19|8728	18876	317.419420094403	47.4140104005126
ADAM20|8748	22	0.391877449234058	0.058391298995236
ADAM21P1|145241	3	0.0732421875	0.0109133773268573
ADAM21|8747	32	0.661263507896924	0.0990882649616127
ADAM22|53616	264	4.79651162790698	0.714699315172795
ADAM23|8745	648	11.7342047930283	1.75298798160029
