gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	102	4.20943708609272	0.668106384537921
?|100134869	30	0.941028858218319	0.14891735783486
?|10357	352	27.6729559748428	4.37923178578858
?|10431	5039	225.312164579606	35.6627590462433
?|136542	0	0	0
?|155060	660	11.2880771881461	1.79952925725461
?|26823	11	1.01102941176471	0.159994911291449
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	10	0.126230749810654	0.0199759545896463
?|390284	6	0.806646525679758	0.14342856095998
?|391343	4	0.0761614623000762	0.0120525142619328
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	4	0.0814332247557003	0.0128867680992816
?|57714	4300	44.7619047619048	7.10602446443678
?|645851	118	6.74133949191686	1.07814332832466
?|652919	387	5.81954887218045	0.920940770591007
?|653553	508	66.6246719160105	10.5499674839452
?|728045	0	0	0
?|728603	0	0	0
?|728788	105	6.58002560819462	1.06377713106362
?|729884	217	5.06086142322097	0.803842325848354
?|8225	3153	108.525155065472	17.1936840852236
?|90288	753	17.2780082987552	2.74693136770773
A1BG|1	639	12.4866457187745	1.98588841974892
A1CF|29974	3	0.0694766095414544	0.0109946395733565
A2BP1|54715	4	0.0301444942700548	0.00788487853807565
A2LD1|87769	254	9.99606299212598	1.58249512259178
A2ML1|144568	130	1.76308539944904	0.283366895229934
A2M|2	71675	797.292454929891	126.224502461347
A4GALT|53947	398	9.38679245283019	1.48545532733851
A4GNT|51146	1	0.0282326369282891	0.00446780102369222
AAA1|404744	1	0.060313630880579	0.00954460266943174
AAAS|8086	3941	109.653118040089	17.3625091262088
AACSL|729522	1	0.00390347764371895	0.00280783378742332
AACS|65985	6058	97.0772683552421	15.3683158907679
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	280	8.11594202898551	1.28434386761072
AADAT|51166	91	2.14723926380368	0.33979956620069
AAGAB|79719	15062	262.901187150838	41.6123281013922
AAK1|22848	6479	112.444173913043	17.8312798248211
AAMP|14	9409	261.869153674833	41.4523847674445
AANAT|15	0	0	0
AARS2|57505	1658	17.1398996235885	2.74338865877998
AARSD1|80755	2386	66.2422222222222	10.4884260069555
AARS|16	8028	129.918016850292	20.5837181532191
AASDHPPT|60496	8172	149.143483023001	23.6074299777657
AASDH|132949	3294	51.2840661053945	8.12712649488203
AASS|10157	1727	14.8312714776632	2.34791157793472
AATF|26574	4365	101.132066728452	16.004613554479
AATK|9625	87	1.04141728513287	0.164803777430554
ABAT|18	48927	470.487687572143	74.477432534675
ABCA10|10349	499	10.430602006689	1.65063768012813
ABCA11P|79963	1359	35.8221635883905	5.67443501742014
ABCA12|26154	2491	13.6682396839333	2.16307909919674
ABCA13|154664	188	2.06970033296337	0.330198760318818
ABCA17P|650655	54	1.54373927958834	0.244295988050189
ABCA1|19	4721	41.4997356828194	6.58234314868353
ABCA2|20	2950	18.0797448165869	2.86367354413309
ABCA3|21	22788	222.29781420765	35.1892065316369
ABCA4|24	622	14.4367708819412	2.29657481626712
ABCA5|23461	3069	25.2813117996045	4.00187667372625
ABCA6|23460	1308	38.2854630715123	6.06654050512911
ABCA7|10347	1204	30.8246786632391	4.89800546941004
ABCA8|10351	969	13.0120870265915	2.05941146090711
ABCA9|10350	1219	10.0602708058124	1.59268622394269
ABCB10|23456	3369	43.5666925666926	6.90420366227883
ABCB11|8647	4	0.0609013398294763	0.00963760732394508
ABCB1|5243	1028	22.2877604166667	3.53039276480979
ABCB4|5244	256	3.25564681724846	0.519916262042475
ABCB5|340273	284	6.28749443702715	1.00006367337798
ABCB6|10058	1658	27.697961911126	4.38318896300898
ABCB7|22	4099	88.921875	14.076926014548
ABCB8|11194	3702	41.9505220154335	6.64820352228187
ABCB9|23457	1732	27.2380050505051	4.32588628839799
ABCC10|89845	1522	15.1229116945107	2.39514476589568
ABCC11|85320	1349	20.7884022208513	3.29239037689129
ABCC12|94160	16	0.125234033700853	0.0263365112975541
ABCC13|150000	148	2.648871372268	0.419579502227846
ABCC1|4363	4877	38.2705291254514	6.05890148601046
ABCC2|1244	82	0.809740645416749	0.12845436552418
ABCC3|8714	2835	66.7360717658168	10.5910615499238
ABCC4|10257	1117	21.248097412481	3.36310321905445
ABCC5|10057	9934	145.526099706745	23.0505961111829
ABCC6P1|653190	49	0.881294964028777	0.139464498214024
ABCC6P2|730013	104	7.36543909348442	1.16557714411859
ABCC6|368	1193	29.5560515873016	4.68233303881944
ABCC8|6833	1401	19.6672311600339	3.12881127117004
ABCC9|10060	9593	112.113136979897	17.7429589890404
ABCD1|215	1076	25.9072463768116	4.11295833794386
ABCD2|225	139	1.30013106159895	0.205922881520556
ABCD3|5825	20026	278.301918265221	44.0520535516028
ABCD4|5826	2005	41.0561245391233	6.49918623678108
ABCE1|6059	12446	148.366237482117	23.4808467999253
ABCF1|23	8119	156.960170146945	24.8419912999278
ABCF2|10061	5452	93.6209150326797	14.8396343453223
ABCF3|55324	4941	96.7075176194205	15.3075732199021
ABCG1|9619	7405	123.86311914324	19.6090635588891
ABCG2|9429	1048	23.070987654321	3.65620566242546
ABCG4|64137	17	0.232876712328767	0.0368526261425484
ABCG5|64240	14	0.249021700462469	0.0394075626401369
ABCG8|64241	2	0.0374531835205993	0.00592694802468832
ABHD10|55347	4405	85.9141295862607	13.6043930816097
ABHD11|83451	2946	107.178441369264	16.9775332525688
ABHD12B|145447	17	0.556282722513089	0.0880314695159041
ABHD12|26090	13653	370.334237655996	58.6158597632816
ABHD13|84945	3953	37.140331075997	5.88375020655128
ABHD14A|25864	950	41.8680248007086	6.65797327928341
ABHD14B|84836	8712	211.87299270073	33.5442761752302
ABHD15|116236	3000	54.3265528514348	8.62238533922148
ABHD1|84696	272	9.32041522491349	1.48940717420403
ABHD2|11057	69267	395.201917589316	62.5583207719239
ABHD3|171586	7298	208.547741566609	33.0161503850052
ABHD4|63874	5212	151.716948165405	24.0185340097506
ABHD5|51099	5986	55.6623836126629	8.82012644677319
ABHD6|57406	1353	28.0248653128885	4.43662640046971
ABHD8|79575	955	22.4394512771996	3.57446272960064
ABI1|10006	9127	130.570529327611	20.6629942544996
ABI2|10152	8769	72.3424092409241	11.4495872359797
ABI3BP|25890	3355	45.794647733479	7.24914136577749
ABI3|51225	783	18.4617924528302	2.92239075705039
ABL1|25	9586	85.041015625	13.467505544358
ABL2|27	6785	28.6081491479669	4.52894778420164
ABLIM1|3983	18429	419.155141037307	66.3416801961874
ABLIM2|84448	156	2.27865961199295	0.362829569553672
ABLIM3|22885	10667	134.022618748429	21.2119571157157
ABO|28	38	1.24240422721268	0.198595821197119
ABP1|26	156	3.06156941649899	0.496718790994604
ABRA|137735	10	0.174849876368774	0.0279494016706426
ABR|29	9344	111.013789824061	17.5782625124793
ABT1|29777	1990	43.9467849223947	6.98262814624756
ABTB1|80325	717	18.0175967823027	2.85231021341958
ABTB2|25841	84	1.01229211858279	0.160194734029537
ACAA1|30	5806	171.195280235988	27.1031465538876
ACAA2|10449	2931	82.109865470852	12.9997006847436
ACACA|31	21773	225.449668599834	35.6831672578613
ACACB|32	2444	22.56973951598	3.57252732275477
ACAD10|80724	3113	66.8263112639725	10.5896545929239
ACAD11|84129	1818	47.0856697819315	7.4687853916715
ACAD8|27034	3363	93.6317548746518	14.8243206052261
ACAD9|28976	3935	85.4232942199044	13.5313305245516
ACADL|33	39	1.03448275862069	0.168903420309468
ACADM|34	13595	301.765541740675	47.7664768908421
ACADSB|36	22740	194.115286080273	30.7309471287251
ACADS|35	453	15.4136518771331	2.44665628168627
ACADVL|37	13686	303.340727595386	48.0435409223406
ACAN|176	294	1.6963746223565	0.270307672578424
ACAP1|9744	325	6.29726516052319	1.01924477772955
ACAP2|23527	11386	125.875498449269	19.9582293595813
ACAP3|116983	1929	27.4803194523674	4.35344137404385
ACAT1|38	8437	196.146114471847	31.064474986754
ACAT2|39	1881	58.1992574257426	9.21000410147012
ACBD3|64746	14043	195.637810667411	31.0290128547283
ACBD4|79777	1211	30.3206030150754	4.81507938054937
ACBD5|91452	8086	107.908969567539	17.0796256824308
ACBD6|84320	2767	85.3073593073593	13.5397773785141
ACBD7|414149	453	10.1785388127854	1.63669016103671
ACCN1|40	156	2.50965250965251	0.397151285592532
ACCN2|41	398	5.20277341705913	0.823957429083634
ACCN3|9311	121	2.96516192345437	0.46977897407656
ACCN4|55515	11	0.19555901830931	0.0339062063663997
ACCN5|51802	0	0	0
ACCSL|390110	0	0	0
ACCS|84680	655	15.97119140625	2.53060133129301
ACD|65057	654	15.633971291866	2.47596126836131
ACE2|59272	22	0.315366972477064	0.0499066695771491
ACER1|125981	4	0.183823529411765	0.0290899838711725
ACER2|340485	974	17.0757363253857	2.70222694495862
ACER3|55331	3170	36.2187428571429	5.73315375841823
ACE|1636	3978	83.2380553227158	13.1918809674562
ACHE|43	12	0.27027027027027	0.0427701384484266
ACIN1|22985	16938	266.284140969163	42.1716525904022
ACLY|47	29857	342.648450057405	54.2463339554797
ACMSD|130013	29	1.12229102167183	0.177602006792421
ACN9|57001	780	18.821083172147	2.98439602423015
ACO1|48	5966	83.136845039019	13.1565857042678
ACO2|50	6661	119.778057553957	18.9586331143595
ACOT11|26027	109	1.96982915303526	0.313507757838067
ACOT12|134526	0	0	0
ACOT13|55856	4870	57.1220084467386	9.04123797163536
ACOT1|641371	2242	69.8385286783042	11.0597071846969
ACOT2|10965	3804	113.443779904306	18.0018284878563
ACOT4|122970	3289	96.26834997064	15.2813460311344
ACOT6|641372	51	2.52689243027888	0.401928542092534
