gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	76	3.13741721854305	0.640803373143736
?|100134869	33	1.03513174404015	0.210864637679141
?|10357	309	24.2924528301887	4.94856745903899
?|10431	3968	177.375670840787	36.1499741530728
?|136542	0	0	0
?|155060	979	16.7291523087526	3.4360811726383
?|26823	3	0.275735294117647	0.056169490718675
?|280660	0	0	0
?|317712	0	0	0
?|340602	8	0.202681794739556	0.0420233150434371
?|388795	2	0.0252461499621308	0.00514284321315479
?|390284	5	0.755287009063444	0.153858020901104
?|391343	2	0.0380807311500381	0.00775735033027651
?|391714	2	0.0710732054015636	0.0144781819241692
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	0	0	0
?|57714	8501	88.6033834586466	18.0839794824634
?|645851	129	7.33833718244804	1.51722485784208
?|652919	61	0.917293233082707	0.186859987970778
?|653553	2810	368.380577427822	75.1206739214307
?|728045	0	0	0
?|728603	4	0.106951871657754	0.0217869539757285
?|728788	10	0.620998719590269	0.13041486534767
?|729884	4	0.0936329588014981	0.0190737846135825
?|8225	2701	92.9483115093039	18.9598677166416
?|90288	50	1.12540341171047	0.234794859005373
A1BG|1	177	3.44304791830322	0.70809739752812
A1CF|29974	1	0.00509495136637332	0.00471764751442939
A2BP1|54715	5	0.0316392625809666	0.0126873455202455
A2LD1|87769	239	9.3511811023622	1.91678018511266
A2ML1|144568	146	1.97190082644628	0.409660755816349
A2M|2	85159	947.307144446917	193.051093337839
A4GALT|53947	1065	25.0702830188679	5.11672266395779
A4GNT|51146	2	0.0564652738565782	0.0115024291176206
AAA1|404744	0	0	0
AAAS|8086	3070	85.3825167037862	17.4104571379816
AACSL|729522	0	0	0
AACS|65985	2731	43.7483167681949	8.91834885744037
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	7	0.202898550724638	0.0413320619626501
AADAT|51166	106	2.49268522888155	0.509510384269573
AAGAB|79719	7986	139.375	28.4010517651723
AAK1|22848	3332	57.8354782608696	11.8044368965329
AAMP|14	12476	347.145879732739	70.7533756525922
AANAT|15	3	0.156576200417537	0.0318958277149887
AARS2|57505	2922	30.332078628189	6.22370173028738
AARSD1|80755	2355	65.3766666666667	13.3258996202794
AARS|16	14144	228.958846403111	46.6825377552783
AASDHPPT|60496	3850	70.2438846294268	14.3168286918818
AASDH|132949	838	13.030558154038	2.66147989532313
AASS|10157	741	6.36546391752577	1.29680105307335
AATF|26574	7491	173.518999073216	35.3562737574352
AATK|9625	149	1.76873354081877	0.363328883544244
ABAT|18	1266	12.159869180454	2.48070751160153
ABCA10|10349	50	1.04515050167224	0.212905538955959
ABCA11P|79963	603	15.9029023746702	3.24105371669805
ABCA12|26154	6073	33.3092625109745	6.78840432108484
ABCA13|154664	37	0.379134295227525	0.083653681774731
ABCA17P|650655	25	0.675814751286449	0.14558892200762
ABCA1|19	4267	37.5208810572687	7.65834466911852
ABCA2|20	19623	120.265856950067	24.520687461934
ABCA3|21	3888	37.9110070257611	7.72850098057047
ABCA4|24	357	8.28698086794214	1.69677468556423
ABCA5|23461	1569	12.9208965062624	2.63363449956356
ABCA6|23460	543	15.841735052755	3.24189492035382
ABCA7|10347	847	21.5825192802057	4.43549338465509
ABCA8|10351	313	4.19070641955412	0.856306878292616
ABCA9|10350	320	2.63177014531044	0.538198202570836
ABCB10|23456	2063	26.6749546749547	5.44223833962089
ABCB11|8647	2	0.0304506699147381	0.00620304566604937
ABCB1|5243	446	9.66232638888889	1.9716531418009
ABCB4|5244	150	1.92505133470226	0.392148395161181
ABCB5|340273	118	2.55540720961282	0.534880870525617
ABCB6|10058	9634	160.821249582359	32.7852165307429
ABCB7|22	952	20.6597222222222	4.20855110088443
ABCB8|11194	4356	49.3983204720835	10.069815407352
ABCB9|23457	1547	24.3813131313131	4.97374221013614
ABCC10|89845	2103	20.9023468575975	4.26012296511981
ABCC11|85320	9887	152.453732264035	31.0620171268901
ABCC12|94160	134	1.36238818389848	0.283928381903372
ABCC13|150000	197	3.51701898960946	0.718926547395075
ABCC1|4363	3956	31.0394096404459	6.32649494290022
ABCC2|1244	27	0.267273807166898	0.0544458179684484
ABCC3|8714	794	18.6987724268178	3.81832312607202
ABCC4|10257	716	13.6225266362253	2.77501792400898
ABCC5|10057	9700	142.142228739003	28.9731347628841
ABCC6P1|653190	4	0.0719424460431655	0.0146552532138893
ABCC6P2|730013	12	0.84985835694051	0.173122962894953
ABCC6|368	70	1.73611111111111	0.353659756376842
ABCC8|6833	212	2.97488004515947	0.609456677542887
ABCC9|10060	3456	40.3719027582983	8.228318326205
ABCD1|215	3597	86.6971014492754	17.6989793904348
ABCD2|225	81	0.758284965362292	0.154468728641808
ABCD3|5825	9576	133.080344731721	27.1157630857553
ABCD4|5826	1338	27.3900040966817	5.58298505371889
ABCE1|6059	7688	91.6499761564139	18.6708065718466
ABCF1|23	15240	294.62180974478	60.0253329431062
ABCF2|10061	9178	157.589955280358	32.1574166590877
ABCF3|55324	7307	142.998433829287	29.1404561423465
ABCG1|9619	5838	97.6174698795181	19.9003918817157
ABCG2|9429	183	4.01587301587302	0.821837910056663
ABCG4|64137	5	0.0684931506849315	0.013952604087196
ABCG5|64240	9	0.16008537886873	0.0326106755079607
ABCG8|64241	1	0.00411985018726592	0.0038147569227165
ABHD10|55347	2627	51.2408274785324	10.443812796275
ABHD11|83451	7965	289.777130371449	59.0871950726851
ABHD12B|145447	7	0.198298429319372	0.0466608683806096
ABHD12|26090	9785	265.327726532827	54.0771289338281
ABHD13|84945	1586	14.910647103085	3.03875958616888
ABHD14A|25864	765	33.4782993799823	6.90153388174898
ABHD14B|84836	5707	138.786861313869	28.2861719774735
ABHD15|116236	1467	26.5804576825282	5.42752751290194
ABHD1|84696	124	4.18269896193772	0.874041330085107
ABHD2|11057	11978	68.3407145303048	13.9254346515462
ABHD3|171586	2817	80.4757004002287	16.4049597318186
ABHD4|63874	7416	215.868957483984	43.9923900377234
ABHD5|51099	3454	32.0932960893855	6.5512802602491
ABHD6|57406	369	7.64608371322006	1.5575685714745
ABHD8|79575	1059	24.8718070009461	5.10233663277606
ABI1|10006	5064	72.4337625178827	14.757902884469
ABI2|10152	4869	40.1453795379538	8.18361673092521
ABI3BP|25890	1179	16.0821955215729	3.27924297097951
ABI3|51225	1270	29.9405660377358	6.10163172133934
ABL1|25	8030	71.2345525568182	14.5221537462241
ABL2|27	5020	21.1521005567741	4.31337210544444
ABLIM1|3983	2624	59.6578707916288	12.1594595910399
ABLIM2|84448	360	5.22457378012934	1.07782020991038
ABLIM3|22885	1103	13.848705704951	2.82344742019837
ABO|28	14	0.462351387054161	0.0941846854498962
ABP1|26	106	2.08571428571429	0.434467808558239
ABRA|137735	3	0.0529848110208407	0.0107934309258068
ABR|29	8006	95.123395149786	19.3876177544285
ABT1|29777	3275	72.4332594235033	14.7925446658376
ABTB1|80325	1128	28.3403720462544	5.7763360027957
ABTB2|25841	983	11.7905519402266	2.41317164785032
ACAA1|30	4110	121.194690265487	24.6973439780614
ACAA2|10449	3146	88.1384529147982	17.9614750530115
ACACA|31	4954	51.2634631317316	10.4512171650823
ACACB|32	764	7.05061888047294	1.43758476842988
ACAD10|80724	1903	40.8920894239037	8.33311181078752
ACAD11|84129	568	14.7118380062305	3.00379426724556
ACAD8|27034	727	20.1877437325905	4.12522925633191
ACAD9|28976	3910	84.9074315514993	17.3076566041215
ACADL|33	3	0.0821018062397373	0.0167247963606783
ACADM|34	3354	74.4467140319716	15.1695536852453
ACADSB|36	3585	30.6063193851409	6.23649231876964
ACADS|35	976	33.2546075085324	6.78563232767603
ACADVL|37	13376	296.507542147294	60.4436218089367
ACAN|176	509	2.93980943527771	0.602413327989706
ACAP1|9744	1081	21.3154974237019	4.36401841590526
ACAP2|23527	5177	57.1982720425343	11.6813958556429
ACAP3|116983	3071	43.7567027952082	8.92166754728995
ACAT1|38	3202	74.4732433690088	15.1762000696403
ACAT2|39	4527	140.006188118812	28.5329890179439
ACBD3|64746	10278	143.281206366937	29.2336082965613
ACBD4|79777	647	16.1698492462312	3.31153489267514
ACBD5|91452	3329	44.4014949279231	9.0515749798668
ACBD6|84320	2665	82.1205936920223	16.7866998277275
ACBD7|414149	183	4.11643835616438	0.851108849318955
ACCN1|40	3	0.0353925353925354	0.00983146813093925
ACCN2|41	550	7.19256933542648	1.4657170436968
ACCN3|9311	113	2.73258096172718	0.564745000565651
ACCN4|55515	23	0.369692247760031	0.0912599231102534
ACCN5|51802	0	0	0
ACCSL|390110	0	0	0
ACCS|84680	206	4.99072265625	1.02450810675417
ACD|65057	1205	28.7794258373206	5.87244410779997
ACE2|59272	6	0.0860091743119266	0.0175207585727977
ACER1|125981	51	2.30422794117647	0.477440671108737
ACER2|340485	494	8.61465638148668	1.76423144667763
ACER3|55331	1613	18.4057142857143	3.75521183694455
ACE|1636	1578	33.0117351215423	6.73619562120894
ACHE|43	513	11.4468468468468	2.35365347054686
ACIN1|22985	13836	217.441787287602	44.3439924511717
ACLY|47	22029	252.806429391504	51.521055859677
ACMSD|130013	1	0.0386996904024768	0.00788343729384912
ACN9|57001	496	11.9676015473888	2.44292015855509
ACO1|48	2487	34.6457636566332	7.05994767177959
ACO2|50	8392	150.887050359712	30.7467212427397
ACOT11|26027	133	2.41403126135951	0.49242396613081
ACOT12|134526	0	0	0
ACOT13|55856	3847	45.1175504458001	9.19362683813077
ACOT1|641371	1506	46.9270573566085	9.56310092355456
ACOT2|10965	2018	60.2296650717703	12.2931454455813
ACOT4|122970	1064	31.1186142102173	6.36363279307508
ACOT6|641372	10	0.49800796812749	0.101448216968656
ACOT7|11332	5234	159.96511627907	32.6256969084701
ACOT8|10005	2051	50.5869565217391	10.321273427605
ACOT9|23597	1801	54.2059000602047	11.0438935409748
ACOX1|51	8666	57.6494543518765	11.7469636577505
ACOX2|8309	2380	50.3085738539898	10.2891571906173
ACOX3|8310	4424	77.40581232493	15.7773858374234
ACOXL|55289	27	0.53775469436676	0.109870486040205
