gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	82	3.31870860927152	0.622278009750021
?|100134869	28	0.872647427854454	0.161030169551862
?|10357	238	18.7091194968553	3.43049963405373
?|10431	3125	139.674418604651	25.6239308740164
?|136542	0	0	0
?|155060	577	9.86044107512061	1.82270313679347
?|26823	20	1.81433823529412	0.337030055495887
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	16	0.201969199697046	0.0370299116768013
?|390284	6	0.906344410876133	0.166173127060208
?|391343	7	0.133282559025133	0.0244366041760917
?|391714	0	0	0
?|404770	0	0	0
?|441362	2	0.0618429189857761	0.0113385497952852
?|442388	0	0	0
?|553137	0	0	0
?|57714	2857	29.7612781954887	5.47007945376097
?|645851	147	8.39607390300231	1.55609812228032
?|652919	199	2.99248120300752	0.548654521620492
?|653553	883	115.866141732283	21.2458085587349
?|728045	0	0	0
?|728603	0	0	0
?|728788	53	3.3393085787452	0.622103108838502
?|729884	36	0.842696629213483	0.154503665890249
?|8225	1285	44.2260509993108	8.11845244637645
?|90288	367	8.38220378054403	1.55111518025917
A1BG|1	717	13.987431264729	2.58165552015042
A1CF|29974	8	0.185270958777212	0.0339683835460421
A2BP1|54715	2	0.0249128051818635	0.0045676220774729
A2LD1|87769	154	6.04094488188976	1.11161535154423
A2ML1|144568	114	1.55674931129477	0.287896087074833
A2M|2	49467	550.344090807923	100.929167269497
A4GALT|53947	333	7.85330188679245	1.43994501446205
A4GNT|51146	11	0.31055900621118	0.0569392391893672
AAA1|404744	2	0.120627261761158	0.0221163269227699
AAAS|8086	2554	71.0773942093541	13.0362324717331
AACSL|729522	1	0.0177430801987225	0.00325309350939962
AACS|65985	5737	91.9150368707919	16.8619194780165
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	17	0.492753623188406	0.0903435928471293
AADAT|51166	188	4.43605474280321	0.813325574225468
AAGAB|79719	6491	113.296089385475	20.7766790691646
AAK1|22848	9474	164.483826086957	30.2087717164836
AAMP|14	8378	233.141425389755	42.7633342396946
AANAT|15	0	0	0
AARS2|57505	954	9.90192388122125	1.82884263991043
AARSD1|80755	1350	37.4938888888889	6.87541313211609
AARS|16	16153	261.48412184057	47.9838186749065
AASDHPPT|60496	2388	43.5852500912742	7.99244812437299
AASDH|132949	1328	20.7012784533832	3.79609131668233
AASS|10157	1474	12.6498281786942	2.32173171975696
AATF|26574	3034	70.2914735866543	12.8884791120421
AATK|9625	41	0.489346420876227	0.0899822642779537
ABAT|18	9756	93.8193535975375	17.2057279766383
ABCA10|10349	166	3.46989966555184	0.636186499404276
ABCA11P|79963	466	12.2928759894459	2.25431311842821
ABCA12|26154	571	3.13268217734855	0.574460184143735
ABCA13|154664	101	1.10344062153163	0.205524743275982
ABCA17P|650655	33	0.93138936535163	0.172966368103549
ABCA1|19	7048	61.975859030837	11.3851187677308
ABCA2|20	5733	35.1536007851797	6.44775585595576
ABCA3|21	12141	118.455503512881	21.7211529630553
ABCA4|24	88	2.03733084461036	0.376441969591673
ABCA5|23461	1627	13.4014502307185	2.45798663281759
ABCA6|23460	463	13.5603751465416	2.48793769454455
ABCA7|10347	1267	32.4935732647815	5.97165274268455
ABCA8|10351	408	5.46682782702122	1.00462657638226
ABCA9|10350	321	2.6306142668428	0.485910967725509
ABCB10|23456	1769	22.8389018389018	4.20015741369709
ABCB11|8647	43	0.65468940316687	0.120033603199753
ABCB1|5243	289	6.27170138888889	1.14988101573006
ABCB4|5244	200	2.56673511293635	0.47059638139056
ABCB5|340273	185	4.08945260347129	0.754755335672141
ABCB6|10058	727	12.145005011694	2.22671805192043
