gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	80	3.31043046357616	0.753734902894534
?|100134869	27	0.846925972396487	0.192784015000064
?|10357	232	18.2201257861635	4.15170457833354
?|10431	3282	146.748658318426	33.4112209880393
?|136542	0	0	0
?|155060	713	12.1929703652653	2.79632532220311
?|26823	4	0.367647058823529	0.0836867428949078
?|280660	0	0	0
?|317712	0	0	0
?|340602	2	0.0515729757607014	0.0117394502668463
?|388795	21	0.263064882605403	0.0603406558212211
?|390284	6	0.906344410876133	0.206309311789259
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	6	0.115228013029316	0.0278047158803928
?|57714	743	7.73767752715121	1.76616081788735
?|645851	38	2.19399538106236	0.499414650439819
?|652919	21	0.315789473684211	0.0718825075813103
?|653553	5429	711.650918635171	162.177439622042
?|728045	0	0	0
?|728603	0	0	0
?|728788	6	0.345710627400768	0.0874371090937833
?|729884	8	0.187265917602996	0.042626955182425
?|8225	2123	73.0840799448656	16.6524506564858
?|90288	92	2.10235131396957	0.482751741402069
A1BG|1	855	16.7062058130401	3.82211094415549
A1CF|29974	0	0	0
A2BP1|54715	2	0.0249128051818635	0.00567085053996386
A2LD1|87769	233	9.13622047244094	2.08808307783767
A2ML1|144568	55	0.754269972451791	0.172445409601628
A2M|2	55534	617.705319385711	140.67538456931
A4GALT|53947	1222	28.8084905660377	6.56040904490119
A4GNT|51146	2	0.0564652738565782	0.0128530740075748
AAA1|404744	7	0.422195416164053	0.0961034731434888
AAAS|8086	2995	83.2867483296214	18.9795568574353
AACSL|729522	4	0.07097232079489	0.0161552832274059
AACS|65985	2596	41.6082077588971	9.47294219285174
AADACL2|344752	0	0	0
AADACL3|126767	6	0.066497461928934	0.0173320767010774
AADACL4|343066	0	0	0
AADAC|13	1445	41.8840579710145	9.53398186301872
AADAT|51166	318	7.5035394053799	1.70801522261396
AAGAB|79719	5875	102.544343575419	23.3469649347177
AAK1|22848	2213	38.3892173913043	8.760706655859
AAMP|14	4923	136.982739420935	31.1974485506358
AANAT|15	2	0.104384133611691	0.0237607453730845
AARS2|57505	1308	13.5092011710581	3.11310483481584
AARSD1|80755	2484	68.9616666666667	15.7063279065163
AARS|16	8082	130.907971484122	29.8070158219131
AASDHPPT|60496	4375	79.8539612997444	18.1794859519789
AASDH|132949	516	8.04490177736202	1.83124442450672
