gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	91	3.69701986754967	0.678656480141127
?|100134869	57	1.78795483061481	0.322152926472882
?|10357	228	17.9245283018868	3.2296337408665
?|10431	4062	181.552772808587	32.7320840568772
?|136542	0	0	0
?|155060	346	5.91936595451413	1.0741235362184
?|26823	8	0.691176470588235	0.132484975438022
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	2	0.0194395354708407	0.00454884035838703
?|390284	6	0.867069486404834	0.163304743138106
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	3	0.0692640692640693	0.0167142455098061
?|442388	0	0	0
?|553137	48	0.975977198697068	0.176071237715678
?|57714	3194	33.2832080200501	6.00974870203319
?|645851	82	4.63394919168591	0.853044137462369
?|652919	194	2.91578947368421	0.52563663036944
?|653553	1163	152.267716535433	27.4998472376392
?|728045	0	0	0
?|728603	3	0.0802139037433155	0.0144529064114206
?|728788	126	7.67221510883483	1.45343312362737
?|729884	7	0.155898876404494	0.0295238053878739
?|8225	1755	60.420399724328	10.8964555263774
?|90288	171	3.91793453204242	0.710251403593048
A1BG|1	616	11.9776119402985	2.17970567602037
A1CF|29974	2	0.0463177396943029	0.00834551026381242
A2BP1|54715	2	0.0132037867463876	0.00448877844035152
A2LD1|87769	577	22.603937007874	4.0930555088868
A2ML1|144568	117	1.58402203856749	0.290372028811268
A2M|2	105522	1173.91920765635	211.58366599502
A4GALT|53947	884	20.8367924528302	3.75657398279735
A4GNT|51146	2	0.0564652738565782	0.0101738885711863
AAA1|404744	0	0	0
AAAS|8086	2555	71.0957683741648	12.8162247397561
AACSL|729522	0	0	0
AACS|65985	2600	41.6732927220263	7.50988895717933
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	14	0.405797101449275	0.0731163458649259
AADAT|51166	244	5.75743275129778	1.03737173783278
AAGAB|79719	9003	157.133379888268	28.3197737091686
AAK1|22848	8495	147.482782608696	26.6195724909662
AAMP|14	8014	223.067928730512	40.199305308965
AANAT|15	2	0.104384133611691	0.0188078879536232
AARS2|57505	1776	18.4234629861982	3.3458689907359
AARSD1|80755	2006	55.6955555555556	10.0400058497498
AARS|16	9075	146.923201555412	26.492701990539
AASDHPPT|60496	4279	78.105147864184	14.0742673505484
AASDH|132949	2129	33.1877143748051	5.98070310698888
AASS|10157	2251	19.3274914089347	3.48440038150295
AATF|26574	4719	109.33734939759	19.7003562271816
AATK|9625	126	1.49700742159445	0.271757545978687
ABAT|18	4577	44.0155829165063	7.93268445852795
ABCA10|10349	333	6.95066889632107	1.25417633102783
ABCA11P|79963	869	22.9034300791557	4.13129402036074
ABCA12|26154	221	1.21268656716418	0.218501340088081
ABCA13|154664	155	1.71764705882353	0.309964848194618
ABCA17P|650655	50	1.40022870211549	0.257546550308334
ABCA1|19	8146	71.5878414096916	12.9316541805168
ABCA2|20	3866	23.7000368053	4.27293709028963
ABCA3|21	2671	26.0538641686183	4.69613214653729
ABCA4|24	60	1.39990667288847	0.252234577595488
ABCA5|23461	1368	11.2705998681608	2.03102873354426
ABCA6|23460	1136	33.158264947245	5.99894453847382
ABCA7|10347	674	17.281233933162	3.12187732353493
