gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	159	6.56208609271523	0.823499360378662
?|100134869	114	3.5702634880803	0.447455252465876
?|10357	309	24.2279874213836	3.03972601209667
?|10431	4038	180.311270125224	22.597353900094
?|136542	0	0	0
?|155060	1043	17.7643004824259	2.24864023101165
?|26823	23	2.11397058823529	0.264522130835654
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	4	0.0504922999242615	0.00631812516271016
?|390284	7	1.05740181268882	0.132313184581922
?|391343	0	0	0
?|391714	5	0.177683013503909	0.0222335587859763
?|404770	0	0	0
?|441362	2	0.0618429189857761	0.00773843344758656
?|442388	1	0.00617283950617284	0.00643675251273018
?|553137	4	0.0814332247557003	0.0101897775934426
?|57714	6513	67.8149540517962	8.51059673771515
?|645851	226	12.9295612009238	1.63276477826382
?|652919	152	2.26225563909774	0.286012500222799
?|653553	754	98.5511811023622	12.381676313779
?|728045	0	0	0
?|728603	2	0.053475935828877	0.00669146892232485
?|728788	27	1.72087067861716	0.216294664461064
?|729884	10	0.234082397003745	0.0292908400860194
?|8225	6537	224.982081323225	28.1866945160559
?|90288	155	3.50484094052559	0.447100568726569
A1BG|1	1088	21.0761979575805	2.67364395337888
A1CF|29974	4	0.0926354793886058	0.0115915209678068
A2BP1|54715	19	0.169407075236672	0.0296148344307675
A2LD1|87769	822	32.3023622047244	4.04949785010331
A2ML1|144568	241	3.28044077134986	0.415378002647953
A2M|2	52999	589.442243489873	73.8013545342456
A4GALT|53947	1273	29.9948113207547	3.75686525572725
A4GNT|51146	4	0.0863918690005647	0.0141310523825494
AAA1|404744	1	0.00482509047044632	0.00754707290998038
AAAS|8086	4025	111.919265033408	14.0214403427362
AACSL|729522	4	0.0578424414478353	0.00888079977625796
AACS|65985	6568	105.204873356845	13.1750067231519
AADACL2|344752	0	0	0
AADACL3|126767	2	0.00558375634517766	0.00317590022455519
AADACL4|343066	0	0	0
AADAC|13	16	0.463768115942029	0.0580315217843361
AADAT|51166	247	5.82822085889571	0.729288008620251
AAGAB|79719	9951	173.60405027933	21.7383606058174
AAK1|22848	4518	78.1728695652174	9.83199057831114
AAMP|14	14780	411.206570155902	51.48742565606
AANAT|15	9	0.46972860125261	0.0587773601058075
AARS2|57505	4113	42.6175240485153	5.38123816781329
AARSD1|80755	3457	95.9494444444444	12.0160008557144
AARS|16	15563	251.880103694102	31.5522599914655
AASDHPPT|60496	7492	136.675794085433	17.1134989522687
AASDH|132949	3213	50.000935453695	6.26822881831831
AASS|10157	1791	15.364089347079	1.92533221396759
AATF|26574	8018	185.674235403151	23.2459707882079
AATK|9625	548	6.52693320564999	0.820822323778024
ABAT|18	6329	60.8522508657176	7.61784087471785
ABCA10|10349	136	2.82734113712375	0.355722068629945
ABCA11P|79963	930	24.5382585751979	3.07048380021508
ABCA12|26154	433	2.35798946444249	0.297308455942474
ABCA13|154664	179	1.88124306326304	0.248594383170899
ABCA17P|650655	138	3.88679245283019	0.49365365068472
ABCA1|19	6291	55.2607929515419	6.93564563453272
ABCA2|20	11493	70.4124647282542	8.82176713571357
ABCA3|21	11291	110.068891491023	13.7865741974711
ABCA4|24	1161	26.9136724218385	3.38955843051605
ABCA5|23461	1449	11.9128213579433	1.49401820500981
