gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	141	5.79304635761589	0.779690959679287
?|100134869	56	1.73462986198243	0.234676731183358
?|10357	248	19.4937106918239	2.60474303564565
?|10431	3610	161.239713774598	21.5692834991957
?|136542	0	0	0
?|155060	1648	28.1161268090972	3.79341292499223
?|26823	25	2.29227941176471	0.306980952522873
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	4	0.0401413784397879	0.00674567586659704
?|390284	4	0.604229607250755	0.0807239338597912
?|391343	9	0.158035034272658	0.0228938117829701
?|391714	1	0.0355366027007818	0.00474762297576242
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	1	0.00529315960912052	0.00271983124059353
?|57714	6502	67.7147034252297	9.07116661150564
?|645851	117	6.70900692840647	0.902481462640916
?|652919	79	1.17563909774436	0.158710537330803
?|653553	829	108.561679790026	14.5344926031449
?|728045	0	0	0
?|728603	0	0	0
?|728788	11	0.677336747759283	0.0940831764351792
?|729884	1	0.00889513108614232	0.00312729659498957
?|8225	4973	171.106822880772	22.8939835873621
?|90288	2130	48.7777777777778	6.55979657551505
A1BG|1	721	14.0761979575805	1.89167788094786
A1CF|29974	6	0.101435849930523	0.018563887522643
A2BP1|54715	0	0	0
A2LD1|87769	601	23.5251968503937	3.16112064698073
A2ML1|144568	155	2.07079889807163	0.285230125804173
A2M|2	30935	344.127086579123	45.9921828343158
A4GALT|53947	418	9.84528301886792	1.31707571237889
A4GNT|51146	0	0	0
AAA1|404744	0	0	0
AAAS|8086	4049	112.639198218263	15.0595420258401
AACSL|729522	4	0.00958126330731015	0.00948176795869088
AACS|65985	4344	69.5136261622315	9.30346572902972
AADACL2|344752	0	0	0
AADACL3|126767	1	0.00126903553299492	0.00169540749413648
AADACL4|343066	1	0.0019047619047619	0.00424120985834776
AADAC|13	20	0.579710144927536	0.0774481800220026
AADAT|51166	110	2.55545068428504	0.3467624388668
AAGAB|79719	9607	167.605097765363	22.4070713676349
AAK1|22848	6002	103.978434782609	13.9453192947618
AAMP|14	13945	387.968262806236	51.8659702519982
AANAT|15	1	0.0177453027139875	0.00697276151033165
AARS2|57505	4550	47.172312839816	6.35582813621594
AARSD1|80755	3010	83.5011111111111	11.1702864644234
AARS|16	9193	148.846727154893	19.8990186353761
AASDHPPT|60496	5873	107.146403797006	14.3231417157613
AASDH|132949	2729	42.4848768319302	5.68427258587586
AASS|10157	2603	22.330412371134	2.98759348565546
AATF|26574	6398	148.239110287303	19.8044650422111
AATK|9625	676	8.03926262868087	1.08106682695304
ABAT|18	18172	174.705656021547	23.352682423006
ABCA10|10349	129	2.59657190635451	0.360245741208113
ABCA11P|79963	1153	30.3778364116095	4.06434357388553
ABCA12|26154	3819	20.9328358208955	2.7996662870086
ABCA13|154664	170	1.83862375138735	0.252071906675386
ABCA17P|650655	89	2.54431103487707	0.339915146880444
ABCA1|19	4531	39.8163876651982	5.33333073874424
ABCA2|20	21655	132.758557232241	17.7467003048669
ABCA3|21	30201	294.558352849336	39.3715509012174
ABCA4|24	34	0.720951936537564	0.105980768975512
ABCA5|23461	922	7.56624917600527	1.01497575738294
ABCA6|23460	396	11.5451348182884	1.55055251386372
ABCA7|10347	2401	61.3542416452442	8.24599134708557
ABCA8|10351	329	4.39430566747247	0.590300542129828
ABCA9|10350	402	3.2914464993395	0.44341512909724
ABCB10|23456	5548	71.7163947163947	9.5985796071558
ABCB11|8647	2	0.00548112058465286	0.00406815196522395
ABCB1|5243	166	3.60243055555556	0.481277915566416
ABCB4|5244	111	1.37679671457906	0.190315583543544
ABCB5|340273	324	7.10903426791277	0.96319065007337
ABCB6|10058	3531	58.9398596725693	7.88063695806076
ABCB7|22	5376	116.631076388889	15.586446229428
ABCB8|11194	5221	59.1806627326373	7.91552127914957
ABCB9|23457	988	15.4078282828283	2.08325336508048
ABCC10|89845	2505	24.8725139220366	3.32799589198067
ABCC11|85320	28083	432.985811227637	57.862981774173
ABCC12|94160	463	4.74932390264198	0.64339427063733
ABCC13|150000	109	1.93694016481548	0.260877714952294
ABCC1|4363	9535	74.8062490186843	10.000455204737
ABCC2|1244	30	0.296970896852108	0.0396747507042035
ABCC3|8714	3828	90.0571293673277	12.0730303857245
ABCC4|10257	469	8.92313546423135	1.19211403809552
ABCC5|10057	3909	57.2524926686217	7.65740489872234
ABCC6P1|653190	120	2.14532374100719	0.288341245765369
