gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	81	3.35264900662252	0.460309992901933
?|100134869	29	0.909661229611041	0.124894122026585
?|10357	544	42.75	5.87183850561944
?|10431	12723	567.901610017889	78.1232032503708
?|136542	0	0	0
?|155060	1462	25.0303239145417	3.45845622526879
?|26823	13	1.11948529411765	0.164050202626451
?|280660	0	0	0
?|317712	3	0.342592592592593	0.0476727084555499
?|340602	0	0	0
?|388795	20	0.252461499621308	0.0346623075869689
?|390284	1	0.0634441087613293	0.0207397885728072
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	20	0.407166123778502	0.0559028503061823
?|57714	2762	28.7583542188805	3.96006077456328
?|645851	93	5.34411085450346	0.737220452236403
?|652919	45	0.676691729323308	0.0929080152757785
?|653553	3375	441.968503937008	60.810856455111
?|728045	0	0	0
?|728603	0	0	0
?|728788	7	0.448143405889885	0.0615289246135651
?|729884	293	6.84082397003745	0.941669904099515
?|8225	2365	81.3259820813232	11.189123081752
?|90288	37	0.832641770401107	0.117104744421932
A1BG|1	503	9.82757266300078	1.35625672382262
A1CF|29974	4	0.0551181102362205	0.0127186105004154
A2BP1|54715	2	0.00348779272546089	0.00342046338694529
A2LD1|87769	384	15.0535433070866	2.07567723366779
A2ML1|144568	7435	102.228925619835	14.0606910691047
A2M|2	38122	424.04295570888	58.246733766062
A4GALT|53947	610	14.3410377358491	1.97526920317713
A4GNT|51146	0	0	0
AAA1|404744	1	0.02291917973462	0.00828090472569263
AAAS|8086	3440	95.6965478841871	13.1487488087646
AACSL|729522	3	0.0532292405961675	0.00730823635656408
AACS|65985	3638	58.2622635460083	8.00718086695283
AADACL2|344752	0	0	0
AADACL3|126767	3	0.0119289340101523	0.00522705838903492
AADACL4|343066	2	0.0634920634920635	0.00871729526044342
AADAC|13	31	0.898550724637681	0.123368678577145
AADAT|51166	364	8.58895705521472	1.17924147541581
AAGAB|79719	2306	40.2405726256983	5.52737090104181
AAK1|22848	3355	58.1558260869565	8.0110048379288
AAMP|14	10904	303.392538975501	41.6784758752236
AANAT|15	6	0.313152400835073	0.0429950105486379
AARS2|57505	3878	40.1355081555834	5.5671196002195
AARSD1|80755	3074	85.3583333333333	11.7236724633888
