gene	raw_counts	median_length_normalized	RPKM
?|100130426	1	0.017156862745098	0.0223672760953128
?|100133144	94	3.86341059602649	0.710123984112115
?|100134869	31	0.972396486825596	0.177478863270713
?|10357	235	18.4748427672956	3.37197237738772
?|10431	4512	201.687835420394	36.8299008003192
?|136542	0	0	0
?|155060	345	5.87525844245348	1.08491308862034
?|26823	9	0.827205882352941	0.150979113643361
?|280660	3	0.119617224880383	0.0218321737963818
?|317712	0	0	0
?|340602	2	0.0515729757607014	0.00941294342123528
?|388795	0	0	0
?|390284	14	2.11480362537764	0.385987556061711
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	75	1.51017915309446	0.278680231480688
?|57714	3856	40.1520467836257	7.34947209323279
?|645851	99	5.62240184757506	1.04325521482895
?|652919	145	2.16842105263158	0.397969339488332
?|653553	486	63.750656167979	11.6408463054787
?|728045	0	0	0
?|728603	0	0	0
?|728788	8	0.512163892445583	0.0934786032971842
?|729884	4	0.0936329588014981	0.0170896042076547
?|8225	1821	62.7043418332185	11.4529086050878
?|90288	24	0.536191793453204	0.100977578388798
A1BG|1	180	3.51610369206599	0.64518961368412
A1CF|29974	0	0	0
A2BP1|54715	0	0	0
A2LD1|87769	156	6.00314960629921	1.12097038497202
A2ML1|144568	4521	62.2104683195592	11.3658296783964
A2M|2	30729	341.818384153127	62.4144676319184
A4GALT|53947	1737	40.9542452830189	7.47716938662442
A4GNT|51146	2	0.044042913608131	0.0103058708604038
AAA1|404744	0	0	0
AAAS|8086	2811	78.1943207126949	14.2832742463258
AACSL|729522	4	0.07097232079489	0.0129536531538504
AACS|65985	4177	66.945815966656	12.2214394992143
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	0	0	0
AADAC|13	49	1.41217391304348	0.259227005042025
AADAT|51166	471	11.1099575271354	2.02844488564609
AAGAB|79719	9702	169.351955307263	30.9144495712652
AAK1|22848	3673	63.6633043478261	11.6588668104411
AAMP|14	18448	513.43429844098	93.7381157225961
AANAT|15	7	0.365344467640919	0.066681566313375
AARS2|57505	1885	19.3774571309076	3.59728663726122
AARSD1|80755	1852	51.4322222222222	9.38948427446436
AARS|16	25390	410.819831497084	75.0827275257538
AASDHPPT|60496	6546	119.462212486309	21.8100785843469
AASDH|132949	2315	36.0701590271282	6.5875708193155
AASS|10157	657	5.64432989690722	1.03018600704556
AATF|26574	6534	151.382761816497	27.6312766722723
AATK|9625	53	0.630596121618386	0.115793626594456
ABAT|18	224	2.1546748749519	0.393264735841251
ABCA10|10349	78	1.61914715719064	0.297582021094161
ABCA11P|79963	363	9.55039577836412	1.74811770913995
ABCA12|26154	89	0.487269534679543	0.08913526443953
ABCA13|154664	347	3.83951165371809	0.702923303100999
ABCA17P|650655	17	0.475700400228702	0.0887017878771237
ABCA1|19	6978	61.1795594713656	11.2211756577941
ABCA2|20	7106	43.5802968960864	7.95586805113278
ABCA3|21	1880	18.3434816549571	3.34828170494705
ABCA4|24	28	0.646290247316846	0.119236473221117
