gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	76	3.11672185430464	0.58440230498968
?|100134869	35	1.09786700125471	0.203959993519808
?|10357	324	25.4716981132075	4.73209175261752
?|10431	3732	166.884615384615	31.0073815775769
?|136542	0	0	0
?|155060	509	8.70124052377671	1.62924214731045
?|26823	6	0.551470588235294	0.102451332879383
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	0	0	0
?|390284	8	1.20845921450151	0.224505639824307
?|391343	0	0	0
?|391714	2	0.0710732054015636	0.0132038675873926
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	5	0.101791530944625	0.0189106694782791
?|57714	3159	32.9323308270677	6.12859251419826
?|645851	58	3.29676674364896	0.622121719593973
?|652919	173	2.6	0.483303250122529
?|653553	1310	171.902887139108	31.938284279599
?|728045	0	0	0
?|728603	0	0	0
?|728788	3	0.192061459667093	0.0356808739349451
?|729884	1046	24.4541198501873	4.54878801813029
?|8225	1516	52.197105444521	9.70503377336991
?|90288	121	2.7782388197326	0.518192449320154
A1BG|1	564	10.9854673998429	2.05771852243524
A1CF|29974	0	0	0
A2BP1|54715	0	0	0
A2LD1|87769	372	14.6267716535433	2.72084925618568
A2ML1|144568	263	3.60743801652893	0.672998948471949
A2M|2	107518	1196.21856220788	222.284930270712
A4GALT|53947	1692	39.8839622641509	7.41361041243412
A4GNT|51146	1	0.0282326369282891	0.00524501459499192
AAA1|404744	0	0	0
AAAS|8086	2373	66.0189309576837	12.2731676902366
AACSL|729522	1	0.0177430801987225	0.00329628135121742
AACS|65985	3003	48.1221545367105	8.94345280722516
AADACL2|344752	0	0	0
AADACL3|126767	1	0.00431472081218274	0.00235759412378952
AADACL4|343066	0	0	0
AADAC|13	67	1.94202898550725	0.360787070607511
AADAT|51166	398	9.39122227465786	1.74468640745485
AAGAB|79719	7872	137.403631284916	25.5315589781201
AAK1|22848	5170	89.7325217391304	16.7039028809627
AAMP|14	7731	215.169265033408	39.9847700856381
AANAT|15	3	0.156576200417537	0.0290884786463383
AARS2|57505	1976	20.4792973651192	3.83833283042992
AARSD1|80755	2058	57.13	10.6203328359054
AARS|16	10156	164.442968243681	30.5697602493691
AASDHPPT|60496	3231	58.9558232931727	10.9574674184074
AASDH|132949	1555	24.2388525101341	4.50398251269761
AASS|10157	1756	15.0807560137457	2.8026365994184
AATF|26574	4670	108.1890639481	20.1016035027351
AATK|9625	89	1.06416088101508	0.197920506451528
ABAT|18	16433	158.042323970758	29.3660708523968
ABCA10|10349	72	1.50418060200669	0.279599624179185
ABCA11P|79963	481	12.6912928759894	2.35776829960869
ABCA12|26154	1485	8.14694907813872	1.51383312762073
ABCA13|154664	117	1.29811320754717	0.241243893270697
ABCA17P|650655	32	0.909090909090909	0.169951667883009
ABCA1|19	5524	48.5404405286344	9.04176189653998
ABCA2|20	3383	20.7397865292602	3.85528391950349
ABCA3|21	2566	25.0370804059329	4.65171172819613
ABCA4|24	805	18.7386840877275	3.4893053114434
ABCA5|23461	733	6.03658536585366	1.1220795948231
ABCA6|23460	763	22.3194607268464	4.15442356788893
ABCA7|10347	509	13.0796915167095	2.43087954318505
ABCA8|10351	124	1.66532366371206	0.309381193961484
ABCA9|10350	529	4.36145970937913	0.811400120285591
ABCB10|23456	1643	21.2136752136752	3.95278346356424
ABCB11|8647	0	0	0
ABCB1|5243	150	3.25520833333333	0.604747451024134
ABCB4|5244	511	6.55800821355236	1.21833638428911
ABCB5|340273	109	2.40809968847352	0.45059740649873
ABCB6|10058	1649	27.5472769796191	5.11775157965517
ABCB7|22	2370	51.4322916666667	9.55500972618131
ABCB8|11194	1791	20.3195642305946	3.77586410310615
ABCB9|23457	956	15.0391414141414	2.80309606389853
ABCC10|89845	1267	12.5936754176611	2.34070459707136
ABCC11|85320	244	3.76310919185688	0.699104468490527
ABCC12|94160	2	0.00499271895152902	0.00386474759630984
ABCC13|150000	94	1.6839842350412	0.312847925362481
ABCC1|4363	7331	57.5369759773905	10.6919577225175
ABCC2|1244	36	0.353395367254009	0.066204939718532
ABCC3|8714	3235	76.1822474032106	14.1877520974546
ABCC4|10257	1786	33.9802130898021	6.31279019560389
ABCC5|10057	5426	79.5398826979472	14.7805526450988
ABCC6P1|653190	2	0.0359712230215827	0.006682676868871
ABCC6P2|730013	28	1.98300283286119	0.368399127105467
ABCC6|368	173	4.28273809523809	0.797114735445144
ABCC8|6833	107	1.51001975726785	0.280529080075412
ABCC9|10060	6332	74	13.7488187956594
ABCD1|215	1145	27.5806763285024	5.13807457519403
