gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	85	3.5182119205298	0.959950908625518
?|100134869	40	1.25470514429109	0.342348718759946
?|10357	137	10.7704402515723	2.93873539722325
?|10431	1751	78.2665474060823	21.3668929972847
?|136542	0	0	0
?|155060	542	9.23259820813232	2.54799699237782
?|26823	10	0.919117647058823	0.250783022841615
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	1	0.0126230749810654	0.00344423035662303
?|390284	5	0.755287009063444	0.206081517259575
?|391343	2	0.0380807311500381	0.01039040094637
?|391714	5	0.177683013503909	0.0484811529587201
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	4	0.0814332247557003	0.0222192124472049
?|57714	2683	27.9582289055973	7.6447548570285
?|645851	74	4.25288683602771	1.16576459209146
?|652919	144	2.15127819548872	0.590837259468292
?|653553	327	42.7322834645669	11.7090000963909
?|728045	1	0.131233595800525	0.0358073397443145
?|728603	5	0.133689839572193	0.0364775305951439
?|728788	13	0.802816901408451	0.227085472155685
?|729884	14	0.327715355805243	0.0894177669457742
?|8225	2231	76.8194348725017	20.9763147232285
?|90288	102	2.34255417242969	0.641560551933403
A1BG|1	192	3.74312647289866	1.02882109857663
A1CF|29974	0	0	0
A2BP1|54715	2	0.0249128051818635	0.0067975069469775
A2LD1|87769	258	10.0614173228346	2.77148809620994
A2ML1|144568	91	1.233608815427	0.34200448382235
A2M|2	114214	1270.60382817716	346.800692208607
A4GALT|53947	938	22.122641509434	6.03620540714323
A4GNT|51146	5	0.141163184641446	0.0385166472122638
AAA1|404744	0	0	0
AAAS|8086	1443	40.1642538975501	10.9611729769758
AACSL|729522	1	0.0177430801987225	0.00484123365599143
AACS|65985	4648	74.4741904456557	20.3304867794581
AADACL2|344752	3	0.107604017216643	0.02935996364975
AADACL3|126767	8	0.101522842639594	0.0277007034367184
AADACL4|343066	2	0.0634920634920635	0.0173239319905827
AADAC|13	274	7.93391304347826	2.16699792769158
AADAT|51166	251	5.9226050023596	1.61599419872041
AAGAB|79719	2073	36.1875	9.87468660107412
AAK1|22848	3076	53.3467826086957	14.5963918808306
AAMP|14	5856	162.989420935412	44.4827643473112
AANAT|15	4	0.208768267223382	0.0569628243949221
AARS2|57505	1324	13.7013801756587	3.77724753031807
AARSD1|80755	1501	41.6594444444444	11.3764095890657
AARS|16	8423	136.355476344783	37.2364192598456
AASDHPPT|60496	2102	38.3428258488499	10.4697837613404
AASDH|132949	934	14.5509822263798	3.9732413711797
AASS|10157	2795	24.0046391752577	6.55172801667042
AATF|26574	2254	52.1964782205746	14.2494960062947
AATK|9625	125	1.49269810869045	0.408265395097673
ABAT|18	1519	14.6085032704886	3.98674567069735
ABCA10|10349	1282	26.755016722408	7.31179290944502
ABCA11P|79963	317	8.36411609498681	2.2821652096565
ABCA12|26154	244	1.33889376646181	0.365319746706591
ABCA13|154664	235	2.60821309655938	0.711655974252431
ABCA17P|650655	16	0.454545454545455	0.124803626690304
ABCA1|19	10544	92.5982378854626	25.347583593058
ABCA2|20	6558	40.2246350141087	10.976340016006
ABCA3|21	3359	32.7687353629977	8.94330239083511
ABCA4|24	156	3.63975734951003	0.993114813365879
ABCA5|23461	3203	26.3834871456823	7.20125847158801
ABCA6|23460	2789	81.4419695193435	22.3031661655137
ABCA7|10347	1222	31.398971722365	8.57133822767992
ABCA8|10351	7724	103.727639000806	28.3038987167654
ABCA9|10350	2915	24.0592800528402	6.56673854526616
ABCB10|23456	1216	15.6902356902357	4.29665819067131
ABCB11|8647	72	1.09622411693057	0.299106864758233
ABCB1|5243	766	16.6106770833333	4.53568961589376
ABCB4|5244	74	0.949691991786448	0.259125291773923
ABCB5|340273	362	8.03515798842902	2.19787268011364
ABCB6|10058	2614	43.6628800534581	11.9150508188821
ABCB7|22	1528	33.1597222222222	9.04769416851914
ABCB8|11194	1274	14.4450748978665	3.9447725528488
ABCB9|23457	434	6.82323232323232	1.86896681063175
ABCC10|89845	1241	12.3281622911695	3.36723591592016
ABCC11|85320	2346	36.1610117211598	9.87215646338732
ABCC12|94160	33	0.317245683378406	0.0936562684845572
ABCC13|150000	17	0.304550340379792	0.083097147805061
ABCC1|4363	3675	28.82446223897	7.87196450408158
ABCC2|1244	79	0.775094040784003	0.213376582649797
ABCC3|8714	1803	42.3512747875354	11.6135983880919
ABCC4|10257	393	7.47526636225266	2.04015997029507
ABCC5|10057	1823	26.7237536656891	7.2933880688652
ABCC6P1|653190	96	1.72661870503597	0.471111244060449
ABCC6P2|730013	64	4.53257790368272	1.23672262369032
ABCC6|368	2191	54.3000992063492	14.8268496060026
ABCC8|6833	154	2.1532599491956	0.5929889506514
ABCC9|10060	8511	99.4698457223001	27.1416873124897
ABCD1|215	1978	47.5753623188406	13.0362588229134
ABCD2|225	2410	22.5401610185359	6.15589916244655
ABCD3|5825	4027	55.945510147345	15.2734878716389
ABCD4|5826	1824	37.3596886521917	10.1942220037988
ABCE1|6059	4736	56.4573199809251	15.405659692913
ABCF1|23	4495	86.8897911832947	23.7136392147774
ABCF2|10061	3050	52.3839009287926	14.3136976779775
ABCF3|55324	3116	60.9953014878622	16.644608659002
ABCG1|9619	1993	33.3212851405622	9.09963009038473
ABCG2|9429	753	16.5846560846561	4.52948638503775
ABCG4|64137	23	0.303561643835616	0.0859670460765557
ABCG5|64240	7	0.124510850231234	0.0339730256485546
ABCG8|64241	13	0.243445692883895	0.0664246268740037
ABHD10|55347	1463	28.519906323185	7.79044441666673
ABHD11|83451	1430	52.0284049526584	14.2089678899453
ABHD12B|145447	52	1.69829842931937	0.464276842286884
