gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	81	3.3476821192053	0.854062656403387
?|100134869	60	1.88205771643664	0.479440349893253
?|10357	223	17.5314465408805	4.4660069615764
?|10431	1856	83.0044722719141	21.1450061912134
?|136542	0	0	0
?|155060	750	12.802549965541	3.29181563460478
?|26823	9	0.827205882352941	0.210724609668156
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	9	0.113607674829588	0.0289407189243819
?|390284	4	0.604229607250755	0.153923044859989
?|391343	1	0.00723533891850724	0.00485039297873728
?|391714	0	0	0
?|404770	0	0	0
?|441362	1	0.00247371675943105	0.00787701420047254
?|442388	0	0	0
?|553137	2	0.0407166123778502	0.0103722572981792
?|57714	2130	22.1754385964912	5.66626797815571
?|645851	60	3.46420323325635	0.882480274514833
?|652919	86	1.29323308270677	0.329441608645447
?|653553	555	72.6902887139108	18.5540898661445
?|728045	0	0	0
?|728603	27	0.72192513368984	0.183905113892209
?|728788	41	2.56338028169014	0.668658656144338
?|729884	496	11.6020599250936	2.95768607361114
?|8225	2273	78.2122674017919	19.9527918332178
?|90288	126	2.88427846934071	0.739916379544802
A1BG|1	339	6.586017282011	1.69594962104227
A1CF|29974	0	0	0
A2BP1|54715	2	0.0249128051818635	0.00634635374298161
A2LD1|87769	293	11.5275590551181	2.93856666528668
A2ML1|144568	210	2.87658402203857	0.736858873844204
A2M|2	163400	1817.72178945026	463.219978325754
A4GALT|53947	1307	30.7938679245283	7.85256201629645
A4GNT|51146	8	0.225861095426313	0.0575364515512777
AAA1|404744	0	0	0
AAAS|8086	2318	64.5005567928731	16.4391268865793
AACSL|729522	4	0.07097232079489	0.0180796763125111
AACS|65985	2895	46.4004488618147	11.8223780155387
AADACL2|344752	0	0	0
AADACL3|126767	4	0.050761421319797	0.0129310984387453
AADACL4|343066	0	0	0
AADAC|13	25	0.72463768115942	0.184596115393683
AADAT|51166	280	6.60689004247286	1.6830566066097
AAGAB|79719	4038	70.4574022346369	17.9582887092244
AAK1|22848	3731	64.711652173913	16.5294745568119
AAMP|14	7013	195.200445434298	49.7358053734169
AANAT|15	0	0	0
AARS2|57505	2140	22.189460476788	5.7000130487309
AARSD1|80755	1969	54.6611111111111	13.9330071297228
AARS|16	9304	150.649060272197	38.4012559222212
AASDHPPT|60496	2717	49.578313253012	12.6348256813435
AASDH|132949	1449	22.586217648893	5.75494362743242
AASS|10157	2253	19.3515463917526	4.93071448638414
AATF|26574	3457	80.097312326228	20.4042007382768
AATK|9625	268	3.17716064160881	0.817225608297816
ABAT|18	2387	22.9509426702578	5.84908310767328
ABCA10|10349	534	11.1471571906355	2.84349016212192
ABCA11P|79963	775	20.4485488126649	5.20911729323334
ABCA12|26154	352	1.92054433713784	0.49204021627324
ABCA13|154664	309	3.42130965593785	0.873645677316028
ABCA17P|650655	49	1.38707833047456	0.35684360557235
ABCA1|19	2150	18.8909251101322	4.82552136011503
ABCA2|20	4513	27.661636609005	7.05222384311699
ABCA3|21	3175	30.9656518345043	7.89234855188739
ABCA4|24	164	3.77928138124125	0.974750182825437
ABCA5|23461	3235	26.6466710613052	6.79047822966395
ABCA6|23460	1153	33.7022274325909	8.60838989002063
ABCA7|10347	975	24.9804627249357	6.38493761599485
ABCA8|10351	2482	33.3177544990599	8.4914213081094
ABCA9|10350	1083	8.93411492734478	2.27779291859705
ABCB10|23456	1333	17.2408702408702	4.39746099600226
ABCB11|8647	8	0.121802679658953	0.0310283360832256
ABCB1|5243	2262	49.0807291666667	12.5049446607705
ABCB4|5244	81	1.02772073921971	0.264812035147662
ABCB5|340273	343	7.58611481975968	1.94429740232411
ABCB6|10058	2175	36.3090544604076	9.25601804801433
ABCB7|22	1735	37.6519097222222	9.59154685518867
ABCB8|11194	1453	16.4550612800726	4.20042050409088
ABCB9|23457	712	11.1587752525253	2.86263824402173
ABCC10|89845	1615	16.0503182179793	4.09118299898469
ABCC11|85320	605	9.31893892658853	2.37691697628294
ABCC12|94160	8	0.0676097358019555	0.0211976400452076
ABCC13|150000	20	0.358294518093873	0.0912728911656331
ABCC1|4363	4182	32.8131574815513	8.36343003073799
ABCC2|1244	69	0.68026133438923	0.173997645097866
ABCC3|8714	3175	74.8078375826251	19.0936704343111
ABCC4|10257	603	11.4649923896499	2.92256110090751
ABCC5|10057	2628	38.5181818181818	9.81618263828951
ABCC6P1|653190	26	0.467625899280576	0.119124255761247
ABCC6P2|730013	24	1.69971671388102	0.432990321659969
ABCC6|368	302	7.49007936507936	1.90804258560196
ABCC8|6833	755	10.6237651707592	2.71423500746088
ABCC9|10060	3644	42.5881252921926	10.8494878144287
ABCD1|215	723	17.3995169082126	4.44876638098775
ABCD2|225	195	1.82138176371466	0.465032902569182
ABCD3|5825	5849	81.2627189324437	20.7115609804553
ABCD4|5826	2891	59.1888570258091	15.085230849085
ABCE1|6059	6073	72.3917501192179	18.4436343362476
ABCF1|23	5477	105.870843000773	26.9765165339415
ABCF2|10061	3899	66.9642242862057	17.0836179981004
ABCF3|55324	3338	65.3320281910728	16.6470424783492
ABCG1|9619	1849	30.8895582329317	7.88184638488668
ABCG2|9429	671	14.7905643738977	3.76834900644273
ABCG4|64137	11	0.140547945205479	0.038385877146248
ABCG5|64240	14	0.249021700462469	0.0634364452046593
ABCG8|64241	3	0.0415730337078652	0.0143113842271507
