gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	206	8.48509933774834	1.34576453028465
?|100134869	136	4.26599749058971	0.673316694739388
?|10357	332	26.1006289308176	4.11954982183733
?|10431	3669	164.003577817531	25.8985052817538
?|136542	0	0	0
?|155060	1434	24.5051688490696	3.89960424749796
?|26823	22	2.02205882352941	0.319148327356197
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	33	0.406967937389548	0.0657472949059976
?|390284	3	0.353474320241692	0.0715256894047395
?|391343	4	0.0761614623000762	0.0120208190875698
?|391714	2	0.0710732054015636	0.0112177224321103
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	2	0.0407166123778502	0.00642643952034983
?|57714	7943	82.7462406015038	13.091795486059
?|645851	272	15.4422632794457	2.47867623883276
?|652919	364	5.47368421052632	0.863929941076755
?|653553	410	53.6272965879265	8.49234585224601
?|728045	0	0	0
?|728603	1	0.0267379679144385	0.00422014317165219
?|728788	76	4.75544174135723	0.767947179968257
?|729884	80	1.87265917602996	0.295568079812344
?|8225	1273	43.7822191592006	6.92356514234993
?|90288	144	3.30797602581835	0.523928148115491
A1BG|1	447	8.69835035349568	1.38553632197657
A1CF|29974	7	0.140342751273738	0.0255866948202534
A2BP1|54715	45	0.540857000498256	0.088471611333964
A2LD1|87769	550	21.551968503937	3.41765137956242
A2ML1|144568	266	3.6404958677686	0.578287497642763
A2M|2	97241	1081.64722902292	170.79761002207
A4GALT|53947	766	18.0188679245283	2.8514233405368
A4GNT|51146	0	0	0
AAA1|404744	2	0.120627261761158	0.0190390053823633
AAAS|8086	2891	80.4537861915368	12.7031243932577
AACSL|729522	3	0.0532292405961675	0.00840134960715712
AACS|65985	2906	46.5613978839372	7.35273691127148
AADACL2|344752	7	0.228120516499283	0.0396281736850266
AADACL3|126767	32	0.40253807106599	0.0640947632973774
AADACL4|343066	2	0.0615873015873016	0.0100211653726852
AADAC|13	1092	31.6486956521739	4.99576878970471
AADAT|51166	430	10.146295422369	1.60142384347594
AAGAB|79719	8459	147.59532122905	23.3085256062992
AAK1|22848	8964	155.616	24.6055337532489
AAMP|14	6121	170.324053452116	26.8958230408615
AANAT|15	1	0.046972860125261	0.00823764898850688
AARS2|57505	2291	23.7649519029695	3.78080526384298
AARSD1|80755	2582	71.6183333333333	11.3201589341195
AARS|16	9155	148.152624756967	23.4116066355184
AASDHPPT|60496	5887	107.419496166484	16.9617553604731
AASDH|132949	3652	56.8955410040536	8.98670737560773
AASS|10157	3925	33.7036082474227	5.32212987012614
AATF|26574	3810	88.2483781278962	13.9329258827944
AATK|9625	161	1.92147474263826	0.304179675530123
ABAT|18	8856	85.141592920354	13.4452884620323
ABCA10|10349	4076	85.1279264214047	13.4475073877565
ABCA11P|79963	1490	39.3034300791557	6.20505800484142
ABCA12|26154	1326	7.27337576821773	1.14841433398729
ABCA13|154664	610	6.7149833518313	1.06857210119948
ABCA17P|650655	26	0.743281875357347	0.11731467181574
ABCA1|19	9251	81.2692511013216	12.8644613531955
ABCA2|20	4744	29.0585204269415	4.59306486514717
ABCA3|21	6446	62.8698282591725	9.92773032668987
ABCA4|24	524	12.1311245916939	1.92964717267314
ABCA5|23461	6827	56.2178642056691	8.8787764666226
ABCA6|23460	6288	183.672332942556	29.0872254938233
ABCA7|10347	943	24.0658097686375	3.82614019039752
ABCA8|10351	11645	156.367177007789	24.6839835421364
ABCA9|10350	7620	62.8629458388375	9.9297404409083
ABCB10|23456	3611	46.6772856772857	7.38068173442202
ABCB11|8647	28	0.426309378806334	0.0672858393628832
ABCB1|5243	1239	26.8676215277778	4.24382652721185
ABCB4|5244	127	1.62987679671458	0.257248922442422
ABCB5|340273	485	10.6831330663106	1.70336397397862
ABCB6|10058	2164	36.119612429001	5.70583660870747
ABCB7|22	3066	66.5364583333333	10.50167242327
ABCB8|11194	1737	19.6731729459827	3.11117268468654
ABCB9|23457	661	10.28125	1.64658850068943
ABCC10|89845	1471	14.5904932378679	2.30879936998522
ABCC11|85320	2300	35.4673041332511	5.59865384986923
ABCC12|94160	57	0.570210110255877	0.0935770877192441
ABCC13|150000	154	2.74704407022573	0.43544135814131
ABCC1|4363	5170	40.5138954309939	6.40601698370485
ABCC2|1244	277	2.71352207483667	0.432783995542292
ABCC3|8714	2056	48.3149197355996	7.6606557388643
ABCC4|10257	792	15.0509893455099	2.37831082303796
ABCC5|10057	8299	121.562463343109	19.2061438414905
