gene	raw_counts	median_length_normalized	RPKM
?|100130426	2	0.245098039215686	0.0425377874234014
?|100133144	64	2.64900662251656	0.459746152814511
?|100134869	28	0.878293601003764	0.152431519298914
?|10357	189	14.8569182389937	2.57875303757337
?|10431	3481	155.637745974955	27.0188763472769
?|136542	0	0	0
?|155060	182	3.11130254996554	0.544225696573414
?|26823	5	0.454044117647059	0.0797583514188777
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	2	0.0252461499621308	0.00438157467022161
?|390284	7	0.957703927492447	0.183516496799448
?|391343	1	0.00418888042650419	0.00330453489503956
?|391714	2	0.0710732054015636	0.0123350513637156
?|404770	0	0	0
?|441362	2	0.0173160173160173	0.0107330966411551
?|442388	0	0	0
?|553137	0	0	0
?|57714	1224	12.765246449457	2.21836160577979
?|645851	60	3.44572748267898	0.601226926169092
?|652919	106	1.59398496240601	0.276642741426656
?|653553	2552	334.527559055118	58.1247045536015
?|728045	0	0	0
?|728603	0	0	0
?|728788	2	0.121638924455826	0.0222220451584479
?|729884	0	0	0
?|8225	2007	69.0971743625086	12.0028678354159
?|90288	0	0	0
A1BG|1	19	0.367242733699921	0.0647590196595067
A1CF|29974	2	0.0463177396943029	0.0080386369933987
A2BP1|54715	7362	91.6636771300448	15.9156180782911
A2LD1|87769	149	5.81102362204724	1.01809337521394
A2ML1|144568	40	0.543526170798898	0.095622133712109
A2M|2	46708	519.605608724683	90.2110872233109
A4GALT|53947	730	17.2042452830189	2.98807891655327
A4GNT|51146	0	0	0
AAA1|404744	9	0.496984318455971	0.0942091407833113
AAAS|8086	1621	45.1141425389755	7.83216352801786
AACSL|729522	0	0	0
AACS|65985	676	10.8150048092337	1.88077301597844
AADACL2|344752	0	0	0
AADACL3|126767	0	0	0
AADACL4|343066	1	0.0317460317460317	0.00550965627579295
AADAC|13	10	0.289855072463768	0.0503055573007182
AADAT|51166	81	1.91127890514394	0.331710429157284
AAGAB|79719	2603	45.4046787709497	7.88689789639499
AAK1|22848	2393	41.4928695652174	7.22287191723712
AAMP|14	4139	115.194320712695	19.9983496869006
AANAT|15	0	0	0
AARS2|57505	594	6.12881639481389	1.07790860075661
AARSD1|80755	7584	210.606666666667	36.562079046162
AARS|16	7861	127.191186001296	22.1048177494534
AASDHPPT|60496	4174	76.1774370208105	13.2240802628246
AASDH|132949	773	12.0364826941066	2.09163354361429
AASS|10157	1052	9.02353951890034	1.56854802119611
AATF|26574	1103	25.5194624652456	4.43536266159148
AATK|9625	36	0.43045247785492	0.074789923590486
ABAT|18	128	1.22220084647942	0.213687323047299
ABCA10|10349	270	5.62918060200669	0.979507245518792
ABCA11P|79963	326	8.60158311345646	1.49284064105852
ABCA12|26154	1	0.00548726953467954	0.00095233852440451
ABCA13|154664	29	0.321864594894562	0.0558609434843158
ABCA17P|650655	26	0.743281875357347	0.128999670951241
ABCA1|19	6498	57.0586784140969	9.93616752531481
ABCA2|20	2003	12.2814378603852	2.13243165190172
ABCA3|21	1030	10.0271272443404	1.74434814469264
ABCA4|24	42	0.977134857676155	0.170071751116987
ABCA5|23461	5721	47.1011865524061	8.18147183540755
ABCA6|23460	990	29.0070339976553	5.03571603049833
ABCA7|10347	264	6.78149100257069	1.17784836990988
ABCA8|10351	4062	54.5267257587967	9.46786260349899
ABCA9|10350	767	6.32364597093791	1.09904268866657
ABCB10|23456	2021	26.1173271173271	4.54225567212371
ABCB11|8647	0	0	0
ABCB1|5243	67	1.45399305555556	0.252346561850282
ABCB4|5244	815	10.4579055441478	1.81528042531179
ABCB5|340273	98	2.13796172674677	0.378467043243721
ABCB6|10058	3182	53.0932175075175	9.22568288492407
ABCB7|22	2799	60.6940104166667	10.5420600987902
ABCB8|11194	864	9.77871084884249	1.70166596915548
ABCB9|23457	149	2.25820707070707	0.408137180088924
ABCC10|89845	510	5.07159904534606	0.880197176517638
ABCC11|85320	15	0.231338679827267	0.0401497931880347
ABCC12|94160	112	1.12960266278344	0.202185014988533
ABCC13|150000	14	0.250806162665711	0.0435284560663685
ABCC1|4363	2732	21.4176479824148	3.7223268941921
ABCC2|1244	102	1.00178182538111	0.175237830272448
ABCC3|8714	46	1.0590179414542	0.188467704051558
ABCC4|10257	806	15.3143074581431	2.66142814281026
ABCC5|10057	2720	39.8448680351906	6.92180864677331
ABCC6P1|653190	6	0.107913669064748	0.0187288675562026
ABCC6P2|730013	47	3.328611898017	0.577694484158035
ABCC6|368	135	3.31200396825397	0.581096560337537
ABCC8|6833	93	1.27490826982783	0.227780666948002
