gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	37	1.52235099337748	0.384436805998292
?|100134869	17	0.533249686323714	0.133859985892722
?|10357	187	14.7012578616352	3.69041036579085
?|10431	2205	98.5760286225402	24.7546597188341
?|136542	0	0	0
?|155060	936	16	4.04826199359805
?|26823	4	0.367647058823529	0.0922892809312276
?|280660	0	0	0
?|317712	0	0	0
?|340602	4	0.0979886539453326	0.0258924026955069
?|388795	18	0.227215349659177	0.0570371521635055
?|390284	6	0.906344410876133	0.227516777159764
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	0	0	0
?|57714	521	5.42648287385129	1.36575799700565
?|645851	66	3.78175519630485	0.956568805587412
?|652919	22	0.330827067669173	0.0830464747507468
?|653553	791	103.766404199475	26.0580359198366
?|728045	1	0.131233595800525	0.0329431553980235
?|728603	0	0	0
?|728788	19	1.21638924455826	0.30534635329871
?|729884	4	0.0936329588014981	0.0235043861547696
?|8225	3191	109.882839421089	27.6025726956654
?|90288	54	1.2448132780083	0.312481548713202
A1BG|1	328	6.36920659858602	1.61698359928523
A1CF|29974	2	0.0463177396943029	0.0116269960228318
A2BP1|54715	0	0	0
A2LD1|87769	430	16.9212598425197	4.24966704634503
A2ML1|144568	73	1.00055096418733	0.252409912144691
A2M|2	119324	1327.42866681505	333.335490199408
A4GALT|53947	2313	54.5405660377359	13.6939879830068
A4GNT|51146	8	0.225861095426313	0.0566971979972759
AAA1|404744	2	0.120627261761158	0.0302806808363015
AAAS|8086	2428	67.5818485523385	16.9680728717922
AACSL|729522	4	0.07097232079489	0.0178159577099318
AACS|65985	2932	46.9653735171529	11.7988250560721
AADACL2|344752	13	0.466284074605452	0.117049819717655
AADACL3|126767	0	0	0
AADACL4|343066	5	0.158730158730159	0.0398455308147522
AADAC|13	1398	40.488115942029	10.1720442926913
AADAT|51166	234	5.52147239263804	1.38603778969107
AAGAB|79719	2581	45.0558659217877	11.3111083224008
AAK1|22848	2999	52.0612173913043	13.0926870531249
AAMP|14	7022	195.433184855234	49.07323216875
AANAT|15	2	0.104384133611691	0.0262032196380939
AARS2|57505	1605	16.6200334588038	4.21265249721212
AARSD1|80755	2346	65.1244444444444	16.3585826759965
AARS|16	8583	138.99578742709	34.9086747114876
AASDHPPT|60496	1656	30.2263599853961	7.5885442476113
AASDH|132949	765	11.9270346117867	2.99400585846115
AASS|10157	1284	11.026116838488	2.76905900229118
AATF|26574	3567	82.6436515291937	20.7463566501898
AATK|9625	132	1.58008139813263	0.396642846846396
ABAT|18	834	8.02135436706426	2.01381673727271
ABCA10|10349	1246	26.0209030100334	6.53803193540222
ABCA11P|79963	360	9.49868073878628	2.38442384928385
ABCA12|26154	32	0.175592625109745	0.0440784625343177
ABCA13|154664	74	0.811542730299667	0.206170770985988
ABCA17P|650655	22	0.622069754145226	0.157878518322603
ABCA1|19	3990	35.1014977973568	8.82464412414473
ABCA2|20	3937	24.1399828241933	6.0624014559648
ABCA3|21	2694	26.2870804059329	6.59900778780384
ABCA4|24	74	1.69248716752217	0.433410790150198
ABCA5|23461	1849	15.2221489782465	3.82456027358112
ABCA6|23460	2178	63.6635404454865	16.0239292649924
ABCA7|10347	1069	27.3840616966581	6.89839836447588
ABCA8|10351	6741	90.5047005103411	22.7259193701335
ABCA9|10350	3778	31.1813077939234	7.83008105295776
ABCB10|23456	1292	16.7252007252007	4.2000347399606
ABCB11|8647	37	0.563337393422655	0.141412808052965
ABCB1|5243	721	15.6440972222222	3.92774207074325
ABCB4|5244	135	1.73254620123203	0.434915605209789
ABCB5|340273	383	8.46061415220294	2.13936985542759
ABCB6|10058	2636	44.0153691947878	11.0542392438093
ABCB7|22	1487	32.2699652777778	8.10062754396008
ABCB8|11194	1818	20.625056740808	5.17892422416799
ABCB9|23457	598	9.41130050505051	2.36922431804763
ABCC10|89845	1341	13.3257756563246	3.34752384628353
ABCC11|85320	376	5.79888957433683	1.45567694932118
ABCC12|94160	8	0.0753068441855627	0.0208884413674174
ABCC13|150000	36	0.644930132568972	0.161894775865027
ABCC1|4363	3650	28.6511226252159	7.19302858443419
ABCC2|1244	139	1.37200554345674	0.345404190600659
ABCC3|8714	2394	56.3961284230406	14.1869278766349
ABCC4|10257	328	6.23858447488584	1.56652977312793
ABCC5|10057	4188	61.3953079178886	15.4149622174303
ABCC6P1|653190	50	0.899280575539568	0.225743564867751
ABCC6P2|730013	38	2.69121813031161	0.675567994125474
ABCC6|368	715	17.7083333333333	4.4514928957106
ABCC8|6833	59	0.819079875811459	0.209011908041821
ABCC9|10060	4182	48.8733052828425	12.2696851585315
ABCD1|215	1962	47.2589371980676	11.8964895697784
ABCD2|225	458	4.27691443549897	1.07629933170648
ABCD3|5825	2347	32.6141228801779	8.1896024906868
ABCD4|5826	3589	73.4985661614093	18.4542266200966
ABCE1|6059	3437	40.9752026704816	10.2858758140786
ABCF1|23	5051	97.6585460170147	24.5154019666565
ABCF2|10061	3429	58.9456484348125	14.805143593599
ABCF3|55324	3285	64.3022709475333	16.1437584764429
ABCG1|9619	1960	32.7556894243641	8.23314281292772
ABCG2|9429	1009	22.2310405643739	5.58390841556736
ABCG4|64137	11	0.141095890410959	0.0378259628145525
ABCG5|64240	8	0.142298114549982	0.0357206466215495
ABCG8|64241	2	0.0374531835205993	0.00940175446190783
ABHD10|55347	1976	38.5499609679938	9.68050437171522
ABHD11|83451	1763	64.1689730517116	16.1165450184403
ABHD12B|145447	26	0.850785340314136	0.213569959013626
ABHD12|26090	4947	134.180683667933	33.6904448704734
ABHD13|84945	1027	9.64635063957863	2.42479842856028
ABHD14A|25864	1305	57.3658104517272	14.5079730555131
ABHD14B|84836	9381	228.240389294404	57.2964190951606
ABHD15|116236	2001	36.2520886305848	9.12286079022904
ABHD1|84696	197	6.73079584775086	1.71115184408958
ABHD2|11057	5738	32.7385001712133	8.22047729502799
ABHD3|171586	949	27.1074899942824	6.81030517673411
ABHD4|63874	3596	104.673849737915	26.2869112260352
ABHD5|51099	3240	30.1150837988827	7.57287686211101
ABHD6|57406	1261	26.1292996270203	6.55915562477489
ABHD8|79575	881	20.7298959318827	5.23071546076441
ABI1|10006	4149	59.3562231759657	14.9000053835131
ABI2|10152	2917	24.0663366336634	6.04162792356257
ABI3BP|25890	6596	90.0516111414528	22.6074967763635
ABI3|51225	1353	31.9103773584906	8.01036132339308
ABL1|25	8023	71.2049005681818	17.879868345868
ABL2|27	2430	10.2481019065294	2.57295103443159
ABLIM1|3983	12483	283.938580527752	71.2822587650473
ABLIM2|84448	236	3.46266901822457	0.870698636322364
ABLIM3|22885	7192	90.3518471977884	22.6864169766788
ABO|28	98	3.23645970937913	0.812438267008852
ABP1|26	122	2.41810865191147	0.616202715980253
ABRA|137735	7	0.123631225715295	0.0310347564275976
ABR|29	8207	97.5408939610081	24.4909333071687
ABT1|29777	1715	37.9454545454545	9.54569928354746
ABTB1|80325	3639	91.4172951231775	22.9634662091444
ABTB2|25841	357	4.29501084598698	1.07997810744106
ACAA1|30	5596	165.038938053097	41.4379415860746
ACAA2|10449	9989	279.920403587444	70.2776666492132
ACACA|31	3129	32.3964374482187	8.13445521222003
ACACB|32	15626	144.301311657122	36.2326387070137
ACAD10|80724	2034	43.719690455718	10.9756792985038
ACAD11|84129	1781	46.2102803738318	11.6064073053158
ACAD8|27034	1858	51.7186629526462	12.9918628523399
ACAD9|28976	3475	75.5071707953064	18.955199551542
ACADL|33	609	16.6201423097975	4.18378073554898
ACADM|34	2618	58.1194493783304	14.5912139862352
ACADSB|36	2578	22.002049530316	5.52644922437845
ACADS|35	3907	133.281911262799	33.4731017074196
ACADVL|37	33576	744.374445430346	186.967109995731
ACAN|176	72	0.418312805019754	0.105007743304506
ACAP1|9744	563	11.0531113753468	2.80079495138416
ACAP2|23527	2845	31.4652193176783	7.91062662337408
ACAP3|116983	2436	34.7079292641187	8.72078425995208
ACAT1|38	8360	194.390414146114	48.8269989984032
ACAT2|39	1312	40.5816831683168	10.1901986232183
ACBD3|64746	2480	34.5674392627758	8.69235651284123
ACBD4|79777	1320	33.0884422110553	8.32551342350451
ACBD5|91452	1692	22.5787506673785	5.66921276392062
ACBD6|84320	1960	60.4279529993816	15.213748129269
ACBD7|414149	298	6.75616438356164	1.70789953314191
ACCN1|40	52	0.836550836550837	0.209996716456127
ACCN2|41	684	8.94819466248038	2.24623706680966
ACCN3|9311	53	1.28115799803729	0.32640880125235
ACCN4|55515	13	0.253213868328788	0.0635634782572694
ACCN5|51802	0	0	0
ACCSL|390110	0	0	0
ACCS|84680	1754	42.74951171875	10.7495381984662
ACD|65057	1318	31.5311004784689	7.91515264514865
ACE2|59272	71	1.0177752293578	0.255488903862366
ACER1|125981	1	0.0459558823529412	0.0115361601164035
ACER2|340485	168	2.945301542777	0.739349751303187
ACER3|55331	1418	16.2045714285714	4.06806931406294
ACE|1636	6573	137.668482816429	34.5766858023011
ACHE|43	48	1.08108108108108	0.27138037203561
ACIN1|22985	8445	132.774701069855	33.3530789600798
ACLY|47	6521	74.8450057405281	18.7938696967956
ACMSD|130013	3	0.11609907120743	0.0291439834519666
ACN9|57001	478	11.5338491295938	2.90113228954412
ACO1|48	9281	129.328316610925	32.4662784336372
ACO2|50	8589	154.472302158273	38.7782295729823
ACOT11|26027	316	5.7168302435478	1.44173905390783
ACOT12|134526	0	0	0
ACOT13|55856	2246	26.3420929141248	6.61433941720532
ACOT1|641371	2322	72.3609725685786	18.1697110996473
ACOT2|10965	3522	105.228468899522	26.4388918970159
ACOT4|122970	668	19.5155607751028	4.92325108281865
ACOT6|641372	43	2.04482071713147	0.537557484946035
ACOT7|11332	1232	37.6927784577723	9.46343549485254
ACOT8|10005	1032	25.4935770750988	6.39969622394252
ACOT9|23597	2334	70.217940999398	17.6368649670765
ACOX1|51	5842	38.8553367048177	9.75844306244763
ACOX2|8309	1284	27.1460101867572	6.8403749547261
ACOX3|8310	1747	30.577731092437	7.67758922794546
ACOXL|55289	16	0.319616460247703	0.0802323113489218
ACP1|52	3405	108.574617346939	27.2559440137965
ACP2|53	5798	137.633428300095	34.5549297787935
ACP5|54	29861	938.594968553459	235.720521781563
ACP6|51205	667	12.2083639031548	3.07107309311574
ACPL2|92370	759	12.382180156658	3.10916081424446
ACPP|55	133	2.12211538461538	0.535041190219245
ACPT|93650	3	0.111358574610245	0.0279539915515522
ACRBP|84519	424	11.8634583100168	2.97804650006621
ACRC|93953	129	2.02611705475142	0.509478648413297
ACRV1|56	2	0.0933706816059757	0.0234385475380896
ACR|49	30	1.27986348122867	0.32128009061383
ACSBG1|23205	89	1.74100156494523	0.437038128478709
ACSBG2|81616	30	0.555555555555556	0.139459357851633
ACSF2|80221	4055	94.0412993039443	23.6174907879134
ACSF3|197322	1352	22.0764206401045	5.54193816570434
ACSL1|2180	24625	329.980434199946	82.8402041915522
ACSL3|2181	5636	66.068277803848	16.59769232207
ACSL4|2182	3871	38.4588632750397	9.65545422931844
ACSL5|51703	2947	45.5706773894216	11.4410162335257
ACSL6|23305	63	1.0635838150289	0.268865882019299
ACSM1|116285	134	3.26669917113603	0.820029183661966
ACSM2A|123876	30	0.54180602006689	0.139925777108662
ACSM2B|348158	12	0.24906600249066	0.0625222525860371
ACSM3|6296	349	8.28191741813004	2.0789835928428
ACSM4|341392	4	0.114744693057946	0.028803998179339
ACSM5|54988	1940	54.283305227656	13.6872422039882
ACSS1|84532	2936	32.8495297805643	8.25139738439665
ACSS2|55902	7748	144.152214365463	36.1919610781915
ACSS3|79611	1320	21.970695970696	5.51707349742723
ACTA1|58	91	2.9635520212061	0.756906653946238
ACTA2|59	92118	2985.90791180285	749.808392601754
ACTBL2|345651	8	0.142146410803127	0.0356825649087333
ACTB|60	376171	10424.5421286031	2617.21227783625
